Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Ancient Egypt: c. 3000-700 BCE,6.13,"Identify and locate geographical features of ancient Egypt, including: Mediterranean Sea; Red Sea; Nile Delta; The regions of Upper and Lower Egypt; Nile River; The Sahara",Yes,Ancient Egypt — Nile Valley Map,map,"Library of Congress, Geography & Map Division",1912,Library of Congress Geography & Map Division,Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=ancient+egypt+nile,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain. Ancient Egypt — Nile Valley Map.",Historical map of the Egyptian Nile valley with the delta and desert margins labeled.,NO,SSP.06; SSP.01,Alternate labeled map for a features-location task.,OK
Ancient Egypt: c. 3000-700 BCE,6.14,"Explain how agricultural practices impacted life and economic growth in ancient Egypt, including the use of irrigation and development of a calendar.",Yes,The Nile Valley and Its Agricultural Floodplain,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Nile corridor highlighting the cultivated floodplain hemmed by desert.,NO,SSP.06; SSP.01,"Shows the narrow green floodplain and delta that Nile flooding and irrigation made productive, supporting the geography-of-agriculture point.",OK
Ancient Egypt: c. 3000-700 BCE,6.17,"Analyze the impact of key figures from ancient Egypt, including: Growth under the leadership of Queen Hatshepsut and her economic policies; Ramses the Great's military conquests leading to growth of the kingdom; Significance of the discovery of Tutankhamun's tomb on the understanding of ancient Egypt",Yes,Egypt and the New Kingdom Empire,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Egyptian New Kingdom empire extending south into Nubia and north into the Levant.,NO,SSP.06; SSP.01,"Shows the extent of Egypt's power under New Kingdom rulers (e.g., Hatshepsut, Ramses II), including conquests into Nubia and the Levant.",OK
Ancient Egypt: c. 3000-700 BCE,6.18,"Analyze the achievements of ancient Egyptian civilization, including: hieroglyphics, papyrus, and the pyramids and Sphinx at Giza.",Yes,Ancient Egypt — Locating Giza and Major Monuments,map,Perry-Castañeda Library Map Collection (historical atlas facsimiles),1911,Perry-Castañeda Historical Map Collection,Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_ancient.html,canonical,"Perry-Castañeda Library Map Collection, University of Texas at Austin (public-domain historical map). Ancient Egypt — Locating Giza and Major Monuments.",Map of Lower Egypt marking Giza and the pyramid fields near the apex of the Nile delta.,NO,SSP.06; SSP.01,Locates Giza (pyramids and Sphinx) and other monument sites relative to Memphis and the Nile; anchors the 'achievements' discussion in place.,OK
Ancient Egypt: c. 3000-700 BCE,6.19,"Examine the cultural diffusion of ancient Egypt with surrounding civilizations through trade and conflict, including its relationship with Nubia.",Yes,Egypt and Nubia (Kush) — Trade and Contact Along the Nile,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of the upper Nile showing Egypt to the north and Nubia/Kush to the south, connected by the river.",NO,SSP.06; SSP.01,"Shows Egypt and Nubia/Kush upriver, supporting analysis of cultural diffusion through Nile trade and conflict.",OK
Ancient Israel: c. 2000-500 BCE,6.20,"Identify and locate geographical features of ancient Israel, including: Dead Sea; Mediterranean Sea; Jerusalem; Red Sea; Jordan River; Sinai Peninsula",Yes,"Palestine / Ancient Israel (Jordan River, Dead Sea, Jerusalem)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient Israel showing the Jordan River flowing into the Dead Sea, Jerusalem, and the coast and Sinai.",NO,SSP.06; SSP.01,"Locates required features: Dead Sea, Jordan River, Jerusalem, Mediterranean and Red Seas, and the Sinai Peninsula.",OK
Ancient Israel: c. 2000-500 BCE,6.20,"Identify and locate geographical features of ancient Israel, including: Dead Sea; Mediterranean Sea; Jerusalem; Red Sea; Jordan River; Sinai Peninsula",Yes,Map of Ancient Palestine / the Holy Land,map,David Rumsey Map Collection (historical map),1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=ancient+palestine+holy+land+jerusalem,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Map of Ancient Palestine / the Holy Land.","Historical map of the Holy Land with the Jordan valley, Dead Sea, and Jerusalem labeled.",NO,SSP.06; SSP.01,Alternate labeled map for locating Israel's core geography.,OK — attribute (CC BY)
Ancient Israel: c. 2000-500 BCE,6.21,"Describe the development of the ancient Israelites, and explain the reasons for their movements from Mesopotamia to Canaan (later called Israel), from Canaan to Egypt, and from Egypt back to Canaan.",Yes,Movements of the Ancient Israelites (Mesopotamia–Canaan–Egypt–Canaan),map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map with route arrows showing Israelite movement from Mesopotamia to Canaan, down to Egypt, and back.",NO,SSP.06; SSP.01,"Supports tracing the migrations from Mesopotamia to Canaan, into Egypt, and back to Canaan (Exodus route).",OK
Ancient Israel: c. 2000-500 BCE,6.22,"Describe the origins and central features of Judaism: Key Person(s): Abraham, Moses; Sacred Texts: The Tanakh (i.e., Hebrew Bible); Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility",Yes,Canaan and the Land of Ancient Israel,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of Canaan/ancient Israel used to situate the origins of Judaism.,NO,SSP.06; SSP.01,"Shows the homeland where Judaism developed (Abraham's Canaan, the land of the Israelites); geographic anchor for the faith's origins.",OK
Ancient Israel: c. 2000-500 BCE,6.23,"Identify the importance of Saul as the first king of Israel, David as the second king who founded Jerusalem as the capital, and Solomon as the third king who built the first temple.",Yes,The Kingdom of David and Solomon,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the united Israelite kingdom under David and Solomon centered on Jerusalem.,NO,SSP.06; SSP.01,"Shows the united monarchy with Jerusalem as capital, supporting the roles of Saul, David, and Solomon.",OK
Ancient Israel: c. 2000-500 BCE,6.24,"Summarize the breakup of the Kingdom of Israel, Babylonian captivity, and the return of the Jews to their homeland under the Persian Empire.",Yes,The Kingdoms of Israel and Judah and the Persian Empire,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map showing Israel and Judah and the later Persian Empire stretching from Egypt to India.,NO,SSP.06; SSP.01,Shows the divided kingdoms and the extent of the Persian Empire that later allowed the Jews to return; supports the exile-and-return sequence.,OK
Ancient Israel: c. 2000-500 BCE,6.24,"Summarize the breakup of the Kingdom of Israel, Babylonian captivity, and the return of the Jews to their homeland under the Persian Empire.",Yes,The Persian Empire under Darius,map,David Rumsey Map Collection (historical map),1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=persian+empire+darius+achaemenid,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. The Persian Empire under Darius.",Historical map of the Achaemenid Persian Empire at its greatest extent.,NO,SSP.06; SSP.01,Illustrates the empire that ended the Babylonian captivity and permitted the Jews' return.,OK — attribute (CC BY)
Ancient India: c. 2500-400 BCE,6.25,"Identify and locate geographical features of ancient India, including: Ganges River; Indus River; Himalayan Mountains; Monsoon winds; Indian Ocean; Subcontinent of India",Yes,"Ancient India (Indus and Ganges Rivers, Himalayas)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient India showing the Indus and Ganges rivers, the Himalayan wall to the north, and the surrounding ocean.",NO,SSP.06; SSP.01,"Locates required features: Indus and Ganges Rivers, Himalayan Mountains, Indian Ocean, and the Indian subcontinent.",OK
Ancient India: c. 2500-400 BCE,6.25,"Identify and locate geographical features of ancient India, including: Ganges River; Indus River; Himalayan Mountains; Monsoon winds; Indian Ocean; Subcontinent of India",Yes,Map of Ancient India,map,"Library of Congress, Geography & Map Division",1910,Library of Congress Geography & Map Division,Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=ancient+india+indus+ganges,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain. Map of Ancient India.",Historical map of the Indian subcontinent with its major rivers and mountain border labeled.,NO,SSP.06; SSP.01,"Alternate labeled map for a features-location task, including monsoon-affected coasts.",OK
Ancient India: c. 2500-400 BCE,6.26,"Explain the emergence of the Harappan civilization in the Indus River Valley as an early agricultural civilization, and describe its achievements, including: Architecture built with bricks; Arranging roads into a series of grid-systems; Sanitation and sewer systems",Yes,The Indus Valley (Harappan) Civilization,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Indus River valley marking Harappan civilization sites such as Harappa and Mohenjo-daro.,NO,SSP.06; SSP.01,"Locates Harappa and Mohenjo-daro along the Indus, supporting study of the early planned-city civilization.",OK
Ancient India: c. 2500-400 BCE,6.28,"Describe the origins and central features of Hinduism: Key Person(s): origins in Aryan traditions; Sacred Texts: The Vedas; Basic Beliefs: dharma, karma, reincarnation, and moksha",Yes,Ancient India and the Aryan Settlement of the Ganges Plain,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of northern India showing the Indo-Gangetic plain associated with Aryan settlement.,NO,SSP.06; SSP.01,Shows the northern plains where Aryan traditions and the Vedas emerged; geographic context for Hinduism's origins.,OK
Ancient India: c. 2500-400 BCE,6.29,"Describe the origins and central features of Buddhism: Key Person(s): Siddhartha Gautama (Buddha); Sacred Texts: Tripitaka; Basic Beliefs: Four Noble Truths, Eightfold Path, Nirvana",Yes,India and the Spread of Buddhism,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of India and Asia with the birthplace of Buddhism and arrows showing its spread.,NO,SSP.06; SSP.01,Locates the region of Buddhism's origin (Ganges plain) and routes of its later diffusion across Asia.,OK
Ancient India: c. 2500-400 BCE,6.29,"Describe the origins and central features of Buddhism: Key Person(s): Siddhartha Gautama (Buddha); Sacred Texts: Tripitaka; Basic Beliefs: Four Noble Truths, Eightfold Path, Nirvana",Yes,Historical Map of the Spread of Buddhism in Asia,map,David Rumsey Map Collection (historical map),1910,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=spread+of+buddhism+asia,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Historical Map of the Spread of Buddhism in Asia.",Historical map tracing the expansion of Buddhism outward from northern India.,NO,SSP.06; SSP.01,Reinforces the diffusion of Buddhism from India across Eurasia.,OK — attribute (CC BY)
Ancient China: c. 2500 BCE-200 CE,6.31,"Identify and locate geographical features of ancient China, including: Gobi Desert; Plateau of Tibet; Himalayan Mountains; Yangtze River; Pacific Ocean; Yellow River",Yes,"Ancient China (Yellow and Yangtze Rivers, Gobi, Tibet)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient China showing the Yellow and Yangtze rivers, the Gobi desert and Tibetan plateau, and the Pacific coast.",NO,SSP.06; SSP.01,"Locates required features: Yellow (Huang He) and Yangtze Rivers, Gobi Desert, Plateau of Tibet, Himalayas, and Pacific Ocean.",OK
Ancient China: c. 2500 BCE-200 CE,6.31,"Identify and locate geographical features of ancient China, including: Gobi Desert; Plateau of Tibet; Himalayan Mountains; Yangtze River; Pacific Ocean; Yellow River",Yes,Map of Ancient China,map,"Library of Congress, Geography & Map Division",1912,Library of Congress Geography & Map Division,Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=ancient+china+yellow+river+yangtze,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain. Map of Ancient China.",Historical map of China with its two great rivers and northern and western barriers labeled.,NO,SSP.06; SSP.01,Alternate labeled physical map for a features-location exercise.,OK
Ancient China: c. 2500 BCE-200 CE,6.32,"Analyze the influence of geographic features on the origins of ancient Chinese civilization in the Yellow River Valley, and explain how China's geography helped create a unique yet diverse cultural identity that was isolated from the rest of the world.",Yes,The Yellow River Valley and China's Physical Barriers,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Physical map of China emphasizing the Yellow River heartland ringed by desert, plateau, mountains, and sea.",NO,SSP.06; SSP.01,"Physical map shows how deserts, mountains, and ocean isolated China and centered civilization on the Yellow River Valley.",OK
Ancient China: c. 2500 BCE-200 CE,6.33,Describe how the size of ancient China made governing difficult and how the concepts of the mandate of heaven and Legalism emerged as solutions to this problem.,Yes,China under the Zhou and Early Dynasties,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of early dynastic China showing the broad territory of the Zhou realm.,NO,SSP.06; SSP.01,"Shows the large territory that made governing difficult, giving context for the Mandate of Heaven and Legalism.",OK
Ancient China: c. 2500 BCE-200 CE,6.35,"Explain the significance of the unification of ancient China into the first Chinese empire by Qin Shi Huangdi, beginning the Qin Dynasty.",Yes,The Qin Empire — First Unification of China,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Qin empire showing a unified China under its first emperor.,NO,SSP.06; SSP.01,Shows the territory unified by Qin Shi Huangdi into the first Chinese empire.,OK
Ancient China: c. 2500 BCE-200 CE,6.37,"Explain the major accomplishments of the Han Dynasty, including: the magnetic compass, paper making, porcelain, silk, and woodblock printing.",Yes,The Han Empire at Its Height,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Han empire spanning eastern Asia and reaching westward toward Central Asia.,NO,SSP.06; SSP.01,"Shows the extent of Han China, the setting for its major accomplishments and its reach toward Central Asia.",OK
Ancient China: c. 2500 BCE-200 CE,6.38,"Describe how the desire for Chinese goods influenced the creation of The Silk Road and initiated cultural diffusion throughout Eurasia, including the introduction of Buddhism into ancient China.",Yes,The Silk Road Across Eurasia,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of Eurasia showing Silk Road trade routes running from China through Central Asia to the Mediterranean.,NO,SSP.06; SSP.01,"Traces the overland trade routes linking Han China to Central Asia, Persia, and Rome — the pathway of goods and of Buddhism into China.",OK
Ancient China: c. 2500 BCE-200 CE,6.38,"Describe how the desire for Chinese goods influenced the creation of The Silk Road and initiated cultural diffusion throughout Eurasia, including the introduction of Buddhism into ancient China.",Yes,Historical Map of the Silk Road Trade Routes,map,David Rumsey Map Collection (historical map),1910,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=silk+road+trade+routes+eurasia,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Historical Map of the Silk Road Trade Routes.",Historical map with the network of Silk Road caravan routes across Asia.,NO,SSP.06; SSP.01,Alternate route map for analyzing cultural diffusion along the Silk Road.,OK — attribute (CC BY)
