Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
East Asia: 400-1500s CE,7.07,"Analyze the achievements of the Ming Dynasty and reasons for its isolationism, including building projects (e.g., the Forbidden City and reconstruction of the Great Wall) and Zheng He's sea voyages.",Yes,The Voyages of Zheng He (Ming treasure fleets),map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=indian+ocean+china+voyages,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map of the Indian Ocean world showing the maritime routes of Zheng He's Ming treasure fleets from China to Southeast Asia, India, Arabia, and East Africa.",NO,SSP.06; SSP.01,Pairs Zheng He's outward voyages against the Ming turn to isolationism.,OK — attribute (CC BY)
East Asia: 400-1500s CE,7.08,Describe the origins and central features of Shintoism: • Key Person(s): None • Sacred Texts: No sacred text • Basic Beliefs: localized tradition that focuses on ritual practices that are carried out with discipline to maintain connections with ancient past; animism and Kami,Yes,Reference Map of Japan,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Reference map of the Japanese islands showing provinces and major shrine centers, providing geographic context for Shinto tradition.",NO,SSP.06; SSP.01,Contextual locator for the Japanese homeland of Shinto practice.,OK
East Asia: 400-1500s CE,7.09,Explain how Japanese culture changed through Chinese and Korean influences (including Buddhism and Confucianism) as shown in the Constitution of Prince Shotoku and the adoption of the Chinese writing system.,Yes,Japan and Korea in relation to China (cultural diffusion),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of East Asia showing Japan, the Korean Peninsula, and China, illustrating the routes by which Buddhism, Confucianism, and the Chinese writing system reached Japan.",NO,SSP.06; SSP.01,Supports the pathway of Chinese and Korean influence on Japanese culture.,OK
Byzantine Empire: 400-1500s CE,7.12,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire, and describe the diffusion of Christianity and the Latin language.",Yes,The Byzantine Empire (Eastern Roman Empire),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Byzantine Empire showing its extent around the eastern Mediterranean with Constantinople as capital, illustrating the continuation of the Eastern Roman Empire.",NO,SSP.06; SSP.01,Shows the surviving Eastern Roman world and the diffusion zone of Orthodox Christianity.,OK
Byzantine Empire: 400-1500s CE,7.13,"Explain the importance of Justinian's political, social, and architectural achievements.",Yes,"The Byzantine Empire under Justinian (greatest extent, c. 565)",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Byzantine Empire at its greatest extent under Justinian, encircling the Mediterranean after the reconquest of Italy, North Africa, and southern Spain.",NO,SSP.06; SSP.01,Anchors Justinian's reconquests and imperial reach.,OK
Byzantine Empire: 400-1500s CE,7.14,Analyze the importance of regional geography and the location of Constantinople in maintaining European culture.,Yes,Plan of Constantinople and the Bosporus straits,map,"Library of Congress, Geography and Map Division",1900,Library of Congress Geography & Map Division,Public domain — Library of Congress,Yes,https://www.loc.gov/maps/?q=constantinople+bosporus,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain.","City plan of Constantinople showing its location on the Bosporus between the Black Sea and Mediterranean, illustrating why the site controlled European and Asian trade.",NO,SSP.06; SSP.01,Focuses on the strategic geography of Constantinople's location.,OK
Southwest Asia and North Africa: 400-1500s CE,7.15,"Identify and locate the geographical features of Southwest Asia and North Africa, including: • Arabian Peninsula • Arabian Sea • Black Sea • Caspian Sea • Euphrates River • Mecca • Mediterranean Sea • Persian Gulf • Red Sea • Tigris River",Yes,Physical map of Southwest Asia and North Africa,map,David Rumsey Map Collection,1892,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=arabia+persia+physical,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Physical map showing the Arabian Peninsula, Red Sea, Persian Gulf, Arabian Sea, Black Sea, Caspian Sea, Mediterranean Sea, and the Tigris and Euphrates Rivers, with Mecca marked.",NO,SSP.06; SSP.01,Primary locator map for the Southwest Asia / North Africa feature list.,OK — attribute (CC BY)
Southwest Asia and North Africa: 400-1500s CE,7.16,"Describe the origins and central features of Islam: • Key Person(s): Mohammad • Sacred Texts: The Quran and The Sunnah • Basic Beliefs: monotheism, Five Pillars",Yes,Arabia at the time of Muhammad (origins of Islam),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Arabian Peninsula in the early 7th century showing Mecca and Medina, the setting for the origins of Islam.",NO,SSP.06; SSP.01,Locates the Arabian cradle of Islam and the sacred cities.,OK
Southwest Asia and North Africa: 400-1500s CE,7.17,"Describe the diffusion of Islam, its culture, and the Arabic language.",Yes,"The Expansion of Islam and the Caliphate, c. 750",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map showing the expansion of Islam from Arabia across North Africa, the Middle East, Persia, and into Spain by about 750 CE, with phases of conquest shaded.",NO,SSP.06; SSP.01,"Central map for the diffusion of Islam, Arabic language, and culture.",OK
Southwest Asia and North Africa: 400-1500s CE,7.17,"Describe the diffusion of Islam, its culture, and the Arabic language.",Yes,The Muslim World about 750 (spread of Islam),map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=mohammedan+world+caliphate,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.",Historical map of the Muslim world at its early height showing the reach of the Umayyad and Abbasid caliphates.,NO,SSP.06; SSP.01,Full-resolution alternative for the extent of the early caliphates.,OK — attribute (CC BY)
Southwest Asia and North Africa: 400-1500s CE,7.18,Summarize the contributions of the region's scholars in the areas of: • Art • Geography • Literature • Mathematics • Medicine • Philosophy • Science,Yes,The Abbasid Caliphate and centers of Islamic learning,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Abbasid Caliphate showing Baghdad, Cordoba, Cairo, and other centers where scholars advanced mathematics, medicine, science, and philosophy.",NO,SSP.06; SSP.01,Locates the cities behind the region's scholarly contributions.,OK
Southwest Asia and North Africa: 400-1500s CE,7.19,"Explain the importance of Mehmed II the Conqueror, the fall of Constantinople, and the establishment of the Ottoman Empire.",Yes,Growth of the Ottoman Empire and the fall of Constantinople,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map showing the expansion of the Ottoman Empire around the eastern Mediterranean, including the conquest of Constantinople in 1453 under Mehmed II.",NO,SSP.06; SSP.01,"Anchors Mehmed II, the 1453 conquest, and Ottoman rise.",OK
Southwest Asia and North Africa: 400-1500s CE,7.20,"Analyze the development of trade routes throughout Asia, Africa, and Europe and the expanding role of merchants.",Yes,"Medieval trade routes of Asia, Africa, and Europe",map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=medieval+trade+routes,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map of the interconnected medieval trade routes linking Europe, the Mediterranean, the Islamic world, the Indian Ocean, and East Asia.",NO,SSP.06; SSP.01,Shows the trade networks and the expanding role of merchants across three continents.,OK — attribute (CC BY)
West Africa: 400-1500s CE,7.21,"Identify and locate the geographical features of West Africa, including: • Atlantic Ocean • Djenne • Gulf of Guinea • Niger River • The Sahara • Timbuktu",Yes,Physical map of West Africa,map,David Rumsey Map Collection,1892,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=west+africa+niger+physical,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Physical map of West Africa showing the Atlantic Ocean, Gulf of Guinea, Niger River, the Sahara, and the sites of Djenne and Timbuktu.",NO,SSP.06; SSP.01,Primary locator map for the West Africa feature list.,OK — attribute (CC BY)
West Africa: 400-1500s CE,7.23,"Analyze the growth of the kingdoms of Ghana, Mali, and Songhai, including cities such as Djenne and Timbuktu as centers of trade, culture, and learning.",Yes,"The West African Empires of Ghana, Mali, and Songhai",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of West Africa showing the successive empires of Ghana, Mali, and Songhai, with trading and learning centers such as Djenne and Timbuktu.",NO,SSP.06; SSP.01,Core map for the rise of the three West African kingdoms.,OK
West Africa: 400-1500s CE,7.24,"Describe the role of the Trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and in the exchange of salt, gold, and slaves.",Yes,Trans-Saharan caravan trade routes (salt and gold),map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=sahara+caravan+trade+africa,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map of the trans-Saharan caravan routes connecting West African trading cities to North Africa across the desert, carrying salt, gold, and enslaved people.",NO,SSP.06; SSP.01,Central map for the trans-Saharan trade and its cultural/religious effects.,OK — attribute (CC BY)
West Africa: 400-1500s CE,7.24,"Describe the role of the Trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and in the exchange of salt, gold, and slaves.",Yes,The Catalan Atlas — West Africa and the trans-Saharan world (Mansa Musa),map,Abraham Cresques (facsimile in David Rumsey Map Collection),1375,David Rumsey Map Collection,Public domain — created before 1929,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=catalan+atlas,search,"Abraham Cresques, Catalan Atlas, 1375; facsimile in the David Rumsey Map Collection, davidrumsey.com. Public domain.","Panel of the 1375 Catalan Atlas depicting West Africa, trans-Saharan caravan routes, and the Malian king holding a gold nugget.",NO,SSP.06; SSP.01,Primary-source medieval map depicting the Sahara trade and the wealth of Mali; also excellent for 7.26.,OK
West Africa: 400-1500s CE,7.25,Explain the importance of griots in the transmission of West African history and culture.,Yes,The Mali Empire and its cities (context for the griot tradition),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of the Mali Empire showing the West African heartland where griots preserved and transmitted oral history and culture.,NO,SSP.06; SSP.01,Contextual locator for the West African societies of the griot tradition.,OK
West Africa: 400-1500s CE,7.26,Explain the importance of the Malian king Mansa Musa and his pilgrimage to Mecca in 1324.,Yes,Mansa Musa's pilgrimage route from Mali to Mecca (1324),map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=africa+arabia+pilgrimage+mecca,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.",Map of North Africa and Arabia showing the route of Mansa Musa's 1324 pilgrimage from Mali across the Sahara and through Cairo to Mecca.,NO,SSP.06; SSP.01,Traces the hajj route; pair with the Catalan Atlas panel (7.24) depicting Mansa Musa.,OK — attribute (CC BY)
Middle Ages in Western Europe: 400-1500s CE,7.27,"Identify and locate geographical features of Europe, including: • Alps • Atlantic Ocean • English Channel • Mediterranean Sea • Influence of the North Atlantic Drift • North European Plain • Ural Mountains",Yes,Physical map of Europe,map,David Rumsey Map Collection,1892,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=europe+physical,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Physical map of Europe showing the Alps, Ural Mountains, North European Plain, Atlantic Ocean, English Channel, Mediterranean Sea, and the path of the North Atlantic Drift.",NO,SSP.06; SSP.01,Primary locator map for the Europe feature list.,OK — attribute (CC BY)
Middle Ages in Western Europe: 400-1500s CE,7.28,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church beyond the Alps.,Yes,The spread of monasticism and the Church in early medieval Europe,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of early medieval Europe showing the spread of Christianity and monastic foundations north of the Alps.,NO,SSP.06; SSP.01,Supports the role of monasteries in spreading the Church beyond the Alps.,OK
Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire.",Yes,"The Empire of Charlemagne, c. 814",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Frankish empire of Charlemagne at its height around 814, spanning much of Western and Central Europe, the core of the later Holy Roman Empire.",NO,SSP.06; SSP.01,Central map for Charlemagne and the formation of medieval Europe.,OK
Middle Ages in Western Europe: 400-1500s CE,7.30,"Describe the development of feudalism and manorialism, their role in the medieval European economy, and the way in which they were influenced by physical geography (i.e., the role of the manor and the growth of towns).",Yes,Plan of a medieval manor and open-field village,map,"Library of Congress, Geography and Map Division",1910,Library of Congress Geography & Map Division,Public domain — Library of Congress,Yes,https://www.loc.gov/maps/?q=medieval+manor+plan,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain.","Schematic plan of a medieval manor showing the lord's demesne, peasant strips in open fields, common land, mill, and village, illustrating feudal and manorial land use.",NO,SSP.06; SSP.01,Shows how physical geography shaped the manor economy and the growth of towns.,OK
Middle Ages in Western Europe: 400-1500s CE,7.31,Analyze the Battle of Hastings and the long-term historical impact of William the Conqueror on England and Northern France.,Yes,England and Northern France at the Norman Conquest (1066),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of England and northern France around 1066 showing the Duchy of Normandy, the English Channel crossing, and the site of the Battle of Hastings.",NO,SSP.06; SSP.01,Anchors William the Conqueror's cross-Channel realm.,OK
Middle Ages in Western Europe: 400-1500s CE,7.32,Describe how political relationships both fostered cooperation and led to conflict between the Papacy and European monarchs.,Yes,The Holy Roman Empire and the Papacy in medieval Europe,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Political map of medieval Central Europe showing the Holy Roman Empire, the Papal States, and the Italian territories contested between popes and emperors.",NO,SSP.06; SSP.01,Supports conflict and cooperation between Papacy and monarchs.,OK
Middle Ages in Western Europe: 400-1500s CE,7.33,"Analyze the impact of the Magna Carta, including: limiting the power of the monarch, the rule of law, and the right to trial by jury.",Yes,England in the time of Magna Carta (early 13th century),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of early 13th-century England and its French possessions under King John, the political setting of Magna Carta in 1215.",NO,SSP.06; SSP.01,Contextual locator for the realm of King John and Magna Carta.,OK
Middle Ages in Western Europe: 400-1500s CE,7.34,"Analyze the causes, effects, and key people of the 1st, 2nd, and 3rd Crusades, including: Pope Urban II, Saladin, and Richard I.",Yes,"Europe and the Mediterranean Lands at the First Crusade, c. 1097",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of Europe and the Mediterranean at the time of the First Crusade showing crusader routes toward the Holy Land and the Crusader States of the Levant.,NO,SSP.06; SSP.01,Central map for the causes and campaigns of the early Crusades.,OK
Middle Ages in Western Europe: 400-1500s CE,7.34,"Analyze the causes, effects, and key people of the 1st, 2nd, and 3rd Crusades, including: Pope Urban II, Saladin, and Richard I.",Yes,The Crusader States of the Latin East,map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=crusades+syria+palestine,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map of the eastern Mediterranean showing the Crusader States, key cities such as Jerusalem and Antioch, and the campaigns of Saladin and Richard I.",NO,SSP.06; SSP.01,Detail map for the theater of the Crusades and key figures.,OK — attribute (CC BY)
Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe.",Yes,Routes of the Crusades between Europe and the Holy Land,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map tracing the land and sea routes of the major Crusades from Western Europe through the Byzantine Empire to the Levant, showing points of cross-cultural contact.",NO,SSP.06; SSP.01,Emphasizes contact with cultures outside Europe and effects on populations.,OK
Middle Ages in Western Europe: 400-1500s CE,7.36,"Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.",Yes,"The spread of the Black Death from Central Asia to Europe, 1347-1351",map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=black+death+plague+europe,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map showing the diffusion of the Black Death along trade routes from Central Asia through the Middle East to Europe, with dated advance lines.",NO,SSP.06; SSP.01,Traces plague diffusion along trade routes for the demographic impact.,OK — attribute (CC BY)
