Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
The Industrial Revolution (1750s-1900s),W.12,Analyze how geographic and cultural features were an advantage or disadvantage to the diffusion of the Industrial Revolution.,Yes,Railways of Industrial Europe,map,19th-century commercial cartographer,c. 1880,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=railway%20map%20Europe%2019th%20century,search,"Railways of Industrial Europe. 19th-century commercial cartographer, c. 1880. David Rumsey Map Collection (CC BY).",Map of the 19th-century European railway network.,NO,SSP.06; SSP.01,Rail diffusion shows how geography and infrastructure sped or slowed industrialization across Europe.,OK — attribute (CC BY)
The Industrial Revolution (1750s-1900s),W.13,"Describe the geographic scale, trade routes, and conditions of the forced migration of Africans to the Western Hemisphere, including connections between slave labor and the growth of industrial economies.",Yes,The Atlantic Ocean with the Coast of Guinea (Slave-Trade Era),map,18th-century cartographer,c. 1750,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Atlantic%20Ocean%20coast%20of%20Guinea%20chart%2018th%20century,search,"The Atlantic Ocean with the Coast of Guinea (Slave-Trade Era). 18th-century cartographer, c. 1750. Library of Congress, Geography & Map Division.","Chart of the Atlantic Ocean showing West Africa, the Americas, and the sailing routes between them.",NO,SSP.06; SSP.01,Period chart of the Atlantic basin used to trace the triangular trade and Middle Passage of enslaved Africans.,OK
The Industrial Revolution (1750s-1900s),W.14,"Explain how scientific and technological innovations (e.g., the steam engine, new textile technology, steel processing, medical advances, electricity, and new methods of transportation) led to massive social, economic, cultural, and demographic changes.",Yes,Steam Railroads and Telegraph Lines of the 19th Century,map,19th-century commercial cartographer,c. 1870,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=railroad%20telegraph%20network%20map%2019th%20century,search,"Steam Railroads and Telegraph Lines of the 19th Century. 19th-century commercial cartographer, c. 1870. David Rumsey Map Collection (CC BY).",Map of expanding railroad and telegraph networks in the industrial era.,NO,SSP.06; SSP.01,Shows how steam transport and instant communication compressed distance and reshaped economies.,OK — attribute (CC BY)
The Industrial Revolution (1750s-1900s),W.15,"Evaluate the industrialization of Europe in terms of: Social benefits (e.g., increases in productivity and life expectancy); Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality); Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unionism, education reform, and public health and sanitation)",Yes,"Snow's Map of Cholera in the Soho District of London, 1854",map,Dr. John Snow,1855,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=John%20Snow%20cholera%20map%20Soho%20London%201854,search,"Snow's Map of Cholera in the Soho District of London, 1854. Dr. John Snow, 1855. David Rumsey Map Collection (CC BY).",Spot map of central London plotting cholera deaths clustered around the Broad Street pump.,NO,SSP.06; SSP.01,A landmark public-health map exposing the sanitation costs of rapid industrial urbanization.,OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.17,"Define nationalism, and explain how nationalism, cultural geography, and physical geography contributed to the unification of nations, such as Germany and Italy.",Yes,"The Unification of Germany, 1815–1871",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=unification%20of%20Germany%20Shepherd%20historical%20atlas,search,"The Unification of Germany, 1815–1871. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map showing the growth of Prussia and the stages of German unification into the 1871 Empire.,NO,SSP.06; SSP.01,Nationalism plus Prussian power consolidated fragmented states into the German Empire.,OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.17,"Define nationalism, and explain how nationalism, cultural geography, and physical geography contributed to the unification of nations, such as Germany and Italy.",Yes,"The Unification of Italy, 1815–1870",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=unification%20of%20Italy%20Shepherd%20historical%20atlas,search,"The Unification of Italy, 1815–1870. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map showing the stages by which the Italian states were unified between 1815 and 1870.,NO,SSP.06; SSP.01,Maps how Piedmont-Sardinia and nationalist movements joined the peninsula into one Italy.,OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.18,Describe the rise of anti-Semitism in Europe during this time period.,Yes,The Jewish Pale of Settlement in the Russian Empire,map,late-19th-century cartographer,c. 1905,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Pale%20of%20Settlement%20Jewish%20Russia%20map,search,"The Jewish Pale of Settlement in the Russian Empire. late-19th-century cartographer, c. 1905. Library of Congress, Geography & Map Division.",Map of western Russia outlining the Pale of Settlement where Jews were required to live.,NO,SSP.06; SSP.01,The Pale and its pogrom-era geography ground the rise of anti-Semitism in Europe.,OK
Nationalism and Imperialism (1850-1914),W.19,"Define imperialism, and analyze reasons for 19th century imperialism, including: competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.",Yes,"Colonial Possessions of the World, c. 1900",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=world%20colonial%20possessions%201900%20Shepherd%20historical%20atlas,search,"Colonial Possessions of the World, c. 1900. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).","World map coloring the overseas empires of Britain, France, and other powers around 1900.",NO,SSP.06; SSP.01,"The global reach of empire on the eve of WWI — competition, resources, and markets driving imperialism.",OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.20,"Describe the natural resources and geographic features of Africa, their role in attracting European economic interests, and their impact on global trade.",Yes,Physical Map of Africa,map,U.S. Central Intelligence Agency,1990s,"U.S. Central Intelligence Agency (Library of Congress, G&M Division)",U.S. government work,Yes,https://www.loc.gov/maps/?q=Africa%20physical%20map,search,"Physical Map of Africa. U.S. Central Intelligence Agency, 1990s. Library of Congress, Geography & Map Division.","Physiographic map of Africa showing rivers, basins, plateaus, deserts, and resource regions.",NO,SSP.06; SSP.01,U.S. government physical base map for examining Africa's resources and how geography drew European interests.,OK
Nationalism and Imperialism (1850-1914),W.21,"Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.",Yes,"The Partition of Africa (Colonial Africa, 1914)",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=partition%20of%20Africa%20colonial%201914%20Shepherd%20historical%20atlas,search,"The Partition of Africa (Colonial Africa, 1914). William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of Africa in 1914 colored by European colonial power after the Scramble for Africa.,NO,SSP.06; SSP.01,The finished partition set by the Berlin Conference — superimposed borders ignoring indigenous nations.,OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.21,"Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.",Yes,Africa in 1885 (Beginning of the Scramble),map,late-19th-century cartographer,c. 1885,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Africa%201885%20map%20European%20claims,search,"Africa in 1885 (Beginning of the Scramble). late-19th-century cartographer, c. 1885. Library of Congress, Geography & Map Division.",Map of Africa around 1885 showing coastal claims before the interior was fully partitioned.,NO,SSP.06; SSP.01,"Paired with a 1914 map, shows the rapid geographic progression of European claims after Berlin.",OK
Nationalism and Imperialism (1850-1914),W.22,"Describe successful (e.g., Ethiopia) and unsuccessful (e.g., Zulu Wars and Ashanti Wars) examples of African resistance to European imperialism.",Yes,"Colonial and Independent Africa, 1914",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Africa%201914%20independent%20Ethiopia%20Liberia%20Shepherd,search,"Colonial and Independent Africa, 1914. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of Africa in 1914 distinguishing colonies from the independent states of Ethiopia and Liberia.,NO,SSP.06; SSP.01,Ethiopia's survival (Adwa) stands out against colonized neighbors; frames African resistance.,OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.23,"Describe the importance of India to the British Empire, the Suez Canal as a connection between Great Britain and India, and India's reaction to British rule.",Yes,"The British Indian Empire, c. 1907",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=British%20India%20empire%20map%20Shepherd%20historical%20atlas,search,"The British Indian Empire, c. 1907. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).","Map of British India showing provinces, princely states, and surrounding regions.",NO,SSP.06; SSP.01,The 'jewel in the crown' — India's centrality to British imperial economy and strategy.,OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.23,"Describe the importance of India to the British Empire, the Suez Canal as a connection between Great Britain and India, and India's reaction to British rule.",Yes,The Suez Canal and Isthmus of Suez,map,late-19th-century cartographer,c. 1875,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Suez%20Canal%20map%20isthmus,search,"The Suez Canal and Isthmus of Suez. late-19th-century cartographer, c. 1875. Library of Congress, Geography & Map Division.",Map of the Suez Canal linking the Mediterranean and Red Sea across the Isthmus of Suez.,NO,SSP.06; SSP.01,The Suez shortcut that bound Britain to India and reshaped global trade routes.,OK
Nationalism and Imperialism (1850-1914),W.24,Explain the growing influence of western powers on China from the Opium Wars through the Boxer Rebellion.,Yes,China and the Foreign Spheres of Influence,map,late-19th-century cartographer,c. 1900,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=China%20spheres%20of%20influence%20treaty%20ports%20map,search,"China and the Foreign Spheres of Influence. late-19th-century cartographer, c. 1900. Library of Congress, Geography & Map Division.",Map of China marking the leased territories and spheres of influence of foreign powers.,NO,SSP.06; SSP.01,From the Opium Wars to the Boxer Rebellion — Western carving of Chinese sovereignty.,OK
Nationalism and Imperialism (1850-1914),W.25,"Explain cultural diffusion, and describe the diffusion of cultures between Europe, Africa, and Asia as a result of European imperialism.",Yes,"The World of European Empires, c. 1900",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=world%20empires%201900%20colonial%20Shepherd%20historical%20atlas,search,"The World of European Empires, c. 1900. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).","World map showing the global colonial empires linking Europe, Africa, and Asia.",NO,SSP.06; SSP.01,"Empire as a conduit of cultural diffusion among Europe, Africa, and Asia.",OK — attribute (CC BY)
Nationalism and Imperialism (1850-1914),W.26,"Analyze Japan's abandonment of isolationism, its embrace of technological and political changes, and its consequent rise as an imperial power in the late 19th century.",Yes,"The Empire of Japan and East Asia, c. 1905",map,early-20th-century cartographer,c. 1905,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Empire%20of%20Japan%20East%20Asia%20map%201905,search,"The Empire of Japan and East Asia, c. 1905. early-20th-century cartographer, c. 1905. Library of Congress, Geography & Map Division.",Map of Japan and East Asia showing Japanese territorial gains including Korea and Taiwan.,NO,SSP.06; SSP.01,Japan's rise as an imperial power after Meiji modernization and the Russo-Japanese War.,OK
Nationalism and Imperialism (1850-1914),W.27,"Describe the natural resources and geographic features of Central and South America, their role in attracting American and European economic interests, and their impact on global trade.",Yes,Physical Map of South America,map,U.S. Central Intelligence Agency,1990s,"U.S. Central Intelligence Agency (Library of Congress, G&M Division)",U.S. government work,Yes,https://www.loc.gov/maps/?q=South%20America%20physical%20map,search,"Physical Map of South America. U.S. Central Intelligence Agency, 1990s. Library of Congress, Geography & Map Division.","Physiographic map of South America showing the Andes, Amazon basin, and coastal regions.",NO,SSP.06; SSP.01,U.S. government base map for examining Central and South American resources and trade.,OK
Nationalism and Imperialism (1850-1914),W.28,Compare and contrast the impact of economic imperialism on Central and South America with the impact of imperialism on other parts of the world.,Yes,Central America and the Panama Canal Zone,map,early-20th-century cartographer,c. 1912,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Panama%20Canal%20Central%20America%20map,search,"Central America and the Panama Canal Zone. early-20th-century cartographer, c. 1912. Library of Congress, Geography & Map Division.",Map of Central America and the Panama Canal Zone under U.S. control.,NO,SSP.06; SSP.01,The Canal and banana/ mining economies illustrate economic imperialism in Latin America.,OK
World War I through the Depression (1910s-1930s),W.29,Explain how tensions between nations and states contributed to regional conflicts of the era.,Yes,"The Balkan Peninsula, 1914",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Balkan%20Peninsula%201914%20Shepherd%20historical%20atlas,search,"The Balkan Peninsula, 1914. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Political map of the Balkans in 1914 after the Balkan Wars.,NO,SSP.06; SSP.01,The 'powder keg' of Europe where nationalist tensions ignited regional conflict and WWI.,OK — attribute (CC BY)
World War I through the Depression (1910s-1930s),W.30,"Explain how the rise of militarism, alliances, imperialistic rivalries, and growing nationalism led to the outbreak of World War I.",Yes,"Europe and the System of Alliances, 1914",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%201914%20alliances%20Triple%20Entente%20Alliance%20Shepherd,search,"Europe and the System of Alliances, 1914. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of Europe in 1914 showing the Triple Entente and Triple Alliance blocs.,NO,SSP.06; SSP.01,"Militarism, alliances, imperial rivalry, and nationalism aligned on one map at the outbreak of WWI.",OK — attribute (CC BY)
World War I through the Depression (1910s-1930s),W.31,"Describe how trench warfare, the resulting stalemate, war of attrition, and advances in weaponry (e.g., chemical weapons, machine guns, submarines, tanks) affected the course and outcome of World War I.",Yes,"The Western Front: Trench Lines and Stalemate, 1914–1918",map,U.S. Army Center of Military History,1918,U.S. Army Center of Military History,U.S. government work,Yes,https://history.army.mil,search,"The Western Front: Trench Lines and Stalemate, 1914–1918. U.S. Army Center of Military History campaign atlas, 1918.",Map of the Western Front showing the fixed trench line from the North Sea to Switzerland.,NO,SSP.06; SSP.01,Army campaign map of the deadlocked Western Front — trench warfare and war of attrition.,OK
World War I through the Depression (1910s-1930s),W.32,"Analyze the importance of geographic factors in military decision-making, and determine the principal theaters and significance of major battles in World War I (e.g., Battles of the Marne, Verdun, the Somme).",Yes,"Major Battles of the Western Front (Marne, Verdun, the Somme)",map,U.S. Army Center of Military History,1918,U.S. Army Center of Military History,U.S. government work,Yes,https://history.army.mil,search,"Major Battles of the Western Front (Marne, Verdun, the Somme). U.S. Army Center of Military History campaign atlas, 1918.","Western Front map locating the battles of the Marne, Verdun, and the Somme.",NO,SSP.06; SSP.01,U.S. Army/West Point atlas map tying terrain to the decisive WWI battles.,OK
World War I through the Depression (1910s-1930s),W.33,Explain how the entrance of the United States and the exit of Russia affected the course and outcome of World War I.,Yes,"American Expeditionary Forces and the Eastern Front, 1917–1918",map,U.S. Army Center of Military History,1918,U.S. Army Center of Military History,U.S. government work,Yes,https://history.army.mil,search,"American Expeditionary Forces and the Eastern Front, 1917–1918. U.S. Army Center of Military History campaign atlas, 1918.",Map showing U.S. AEF operations in France and the collapse of the Eastern Front after Russia's exit.,NO,SSP.06; SSP.01,Shows how U.S. entry and Russia's exit shifted the strategic balance of WWI.,OK
World War I through the Depression (1910s-1930s),W.34,"Define total war, and describe its effect on European civilian populations, including: Food shortages; Industrial production of war materials; Naval/submarine blockades; Women as war workers",Yes,"The North Sea War Zone and Naval Blockade, 1914–1918",map,WWI-era cartographer,c. 1917,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=North%20Sea%20war%20zone%20submarine%20blockade%20WWI%20map,search,"The North Sea War Zone and Naval Blockade, 1914–1918. WWI-era cartographer, c. 1917. Library of Congress, Geography & Map Division.",Map of the North Sea and Atlantic marking naval blockade lines and U-boat war zones.,NO,SSP.06; SSP.01,Blockade and submarine warfare that caused food shortages and total-war conditions for civilians.,OK
World War I through the Depression (1910s-1930s),W.35,"Describe the effects of World War I, including the significance of: Armenian Genocide; Collapse of major empires; Economic losses; Environmental changes; Loss of human life; Movement of populations; Spread of disease",Yes,The Partition of the Ottoman Empire and Europe after WWI,map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Ottoman%20Empire%20partition%20Europe%20after%20WWI%20Shepherd,search,"The Partition of the Ottoman Empire and Europe after WWI. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map showing the breakup of the Ottoman Empire and the collapse of empires after WWI.,NO,SSP.06; SSP.01,"Empire collapse, the Armenian genocide's Anatolian setting, and mass population movement.",OK — attribute (CC BY)
World War I through the Depression (1910s-1930s),W.36,"Compare the goals of leading nations (i.e., U.S., France, Great Britain, Italy, and Japan) at the Paris Peace Conference with the outcomes of the Treaty of Versailles and its impact on Germany.",Yes,"Europe after the Treaty of Versailles, 1919",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%201919%20Treaty%20of%20Versailles%20Shepherd%20historical%20atlas,search,"Europe after the Treaty of Versailles, 1919. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).","Map of Europe redrawn by the 1919 peace settlement, showing Germany's territorial losses.",NO,SSP.06; SSP.01,The Versailles map — Allied war aims versus the terms imposed on Germany.,OK — attribute (CC BY)
World War I through the Depression (1910s-1930s),W.37,Analyze the shifts in geopolitical boundaries post-World War I resulting from the Treaty of Versailles and the League of Nations mandate system.,Yes,"New States of Europe after World War I, 1920s",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%20new%20states%201920%20Versailles%20Shepherd%20historical%20atlas,search,"New States of Europe after World War I, 1920s. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).","Map of post-WWI Europe with new nations such as Poland, Czechoslovakia, and Yugoslavia.",NO,SSP.06; SSP.01,Boundary shifts from Versailles that created a belt of new nation-states.,OK — attribute (CC BY)
World War I through the Depression (1910s-1930s),W.37,Analyze the shifts in geopolitical boundaries post-World War I resulting from the Treaty of Versailles and the League of Nations mandate system.,Yes,The League of Nations Mandates in the Middle East,map,U.S. Department of State,1920s,"U.S. Department of State (Library of Congress, G&M Division)",U.S. government work,Yes,https://www.loc.gov/maps/?q=League%20of%20Nations%20mandates%20Middle%20East%20Sykes-Picot%20map,search,"The League of Nations Mandates in the Middle East. U.S. Department of State, 1920s. Library of Congress, Geography & Map Division.",Map of the former Ottoman Middle East divided into British and French League of Nations mandates.,NO,SSP.06; SSP.01,Sykes-Picot / mandate boundaries that drew the modern Middle East map.,OK
World War I through the Depression (1910s-1930s),W.38,Determine the causes and consequences of the Bolshevik Revolution and Russian Civil War.,Yes,"The Russian Civil War: Red and White Fronts, 1918–1921",map,U.S. Army Center of Military History,1921,U.S. Army Center of Military History,U.S. government work,Yes,https://history.army.mil,search,"The Russian Civil War: Red and White Fronts, 1918–1921. U.S. Army Center of Military History campaign atlas, 1921.",Map of Russia during the civil war showing Red and White areas of control and offensives.,NO,SSP.06; SSP.01,Army/West Point atlas map of the Bolshevik victory and the fronts of the Russian Civil War.,OK
