Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Tennessee’s Golden Age (1800-1860),TN.23,Describe the impact of the Indian Removal Act and the Trail of Tears on Tennessee.,Yes,Map of the former territorial limits of the Cherokee Nation (removal context),map,"Charles C. Royce, Bureau of American Ethnology",1884,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=cherokee+nation+royce+removal,search,"Charles C. Royce, Map of the Former Territorial Limits of the Cherokee Nation, BAE, 1884. Library of Congress Geography and Map Division.",Map of Cherokee homelands and cessions leading to forced removal under the Indian Removal Act.,NO,SSP.06; SSP.01,Second map for TN.23 to connect removal to the specific lands lost in Tennessee.,OK
Tennessee’s Golden Age (1800-1860),TN.26,"Describe the development of slavery in Tennessee from 1800 to 1860, including the distribution of slaves and conflicting attitudes among the three grand divisions.",Yes,Map showing the distribution of the slave population of the Southern States (1860),map,U.S. Coast Survey / E. Hergesheimer,1861,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=distribution+slave+population+1860+census+tennessee,search,"U.S. Coast Survey, Map Showing the Distribution of the Slave Population of the Southern States, 1861. Library of Congress Geography and Map Division.",County-level shaded map of enslaved population showing the sharp West-vs-East Tennessee divide by 1860.,NO,SSP.06; SSP.01,Same 1861 Census map used for TN.15; ideal for the 1800-1860 growth and the three-division attitude split.,OK
Tennessee’s Golden Age (1800-1860),TN.27,Discuss the importance of the Nashoba Community and Free Hill as settlements for freed slaves.,Yes,Detail of Shelby and Fentress counties (Nashoba and Free Hill) from the Rhea map of Tennessee,map,Matthew Rhea,1832,Library of Congress G&M,Public domain — published 1832,Yes,https://www.loc.gov/maps/?q=rhea+tennessee+1832+shelby+county,search,"Matthew Rhea, Map of the State of Tennessee, 1832 (county detail). Library of Congress Geography and Map Division.",County detail locating the Nashoba community near Memphis and the Free Hill settlement in the Cumberland Plateau region.,NO,SSP.06; SSP.01,No dedicated PD map of Nashoba/Free Hill exists; use the 1832 Rhea county detail to place them. Check TeVA/TSLA for a Nashoba site map.,OK
Tennessee: A Time of Troubles (1860-1865),TN.28,Explain the causes of the Civil War and how geographic and political divisions impacted Tennessee’s secession.,Yes,Johnson's Kentucky and Tennessee (secession-era political map),map,A. J. Johnson,1862,David Rumsey,Public domain — published 1862,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=johnson+kentucky+tennessee+1862,search,"A. J. Johnson, Johnson's Kentucky and Tennessee, 1862. David Rumsey Map Collection.",1862 county map of Tennessee useful for comparing the pro-Union east against the secessionist west and middle divisions.,NO,SSP.06; SSP.01,Use the county base map to overlay the 1861 secession-referendum vote showing East Tennessee Unionism vs. West/Middle secession.,OK
Tennessee: A Time of Troubles (1860-1865),TN.29,"Describe Tennessee’s role in the Civil War, including: Sieges of Fort Henry and Fort Donelson; Battle of Shiloh; Battle of Stones River; Chattanooga Campaign; Johnsonville Campaign; Battle of Franklin; Battle of Nashville",Yes,"Civil War battle maps of Tennessee (Fort Donelson, Shiloh, Stones River, Chattanooga, Franklin, Nashville)",map,U.S. War Department (Official Records Atlas),1895,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+civil+war+battle+shiloh+nashville,search,"U.S. War Department, Atlas to Accompany the Official Records of the Union and Confederate Armies, 1891-1895. Library of Congress Geography and Map Division.",Set of Civil War battlefield maps for major Tennessee engagements from Fort Donelson through the Battle of Nashville.,NO,SSP.06; SSP.01,The Official Records Atlas (PD) supplies detailed plates for nearly every battle named; LOC also holds many individual sheets.,OK
Tennessee: A Time of Troubles (1860-1865),TN.29,"Describe Tennessee’s role in the Civil War, including: Sieges of Fort Henry and Fort Donelson; Battle of Shiloh; Battle of Stones River; Chattanooga Campaign; Johnsonville Campaign; Battle of Franklin; Battle of Nashville",Yes,"Battlefield maps for Shiloh, Stones River, and Nashville (National Park Service)",map,National Park Service,1960,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/shil/planyourvisit/maps.htm,canonical,"National Park Service, Shiloh / Stones River / Fort Donelson National Battlefield maps. nps.gov.",Modern NPS battlefield maps of Tennessee Civil War sites showing troop positions and terrain.,NO,SSP.06; SSP.01,Cleaner classroom-ready NPS maps for the flagship battles; complements the archival Official Records plates.,OK
Tennessee during Reconstruction (1865-1880),TN.31,"Describe how the Civil War impacted various populations in Tennessee (e.g., African Americans, American Indians, and women).",Yes,Map of contraband camps and freedpeople settlements in Civil War Tennessee,map,U.S. War Department / Freedmen's Bureau,1865,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+contraband+camp+freedmen+1865,search,"U.S. War Department / Freedmen's Bureau records, maps of contraband camps in Tennessee, c. 1863-1865. Library of Congress Geography and Map Division.",Map locating wartime contraband camps and refugee settlements where enslaved Tennesseans sought freedom behind Union lines.,NO,SSP.06; SSP.01,"Dedicated PD maps are scarce; use a wartime Tennessee occupation map and mark contraband camps (Memphis, Nashville, Clarksville) for African American impact.",OK
Tennessee during Reconstruction (1865-1880),TN.38,"Identify exodusters (e.g., Benjamin “Pap” Singleton), and describe their experiences.",Yes,Map of Exoduster migration routes from Tennessee to Kansas (1879),map,Library of Congress / period sources,1879,Library of Congress G&M,Public domain — published before 1929,Yes,https://www.loc.gov/maps/?q=exodusters+kansas+migration+freedmen,search,Period map of the 1879 Exoduster migration to Kansas. Library of Congress Geography and Map Division.,"Map showing the migration of Exodusters, including Tennessee freedpeople, up the Mississippi and into Kansas.",NO,SSP.06; SSP.01,Use a period map of Kansas settlements or a Mississippi River route map to trace Pap Singleton's Exoduster movement out of Tennessee.,OK
Tennessee in the New South (1880-1890s),TN.39,Explain developments in Tennessee’s farming during the late 19th century as a result of industrialization.,Yes,"Agricultural census map of Tennessee farms and crops, late 19th century",map,U.S. Census Bureau,1890,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+census+agriculture+cotton+tobacco+1890,search,"U.S. Census Bureau, statistical atlas maps of agriculture (Tennessee), 1880s-1890s. Library of Congress Geography and Map Division.",Census statistical map shading Tennessee counties by crop production and farm value in the late 1800s.,NO,SSP.06; SSP.01,"Census statistical atlases (PD) map cotton, tobacco, and tenant-farming patterns tied to New South industrialization.",OK
Tennessee in the New South (1880-1890s),TN.41,Discuss the impact of the yellow fever epidemic on Memphis.,Yes,Sanitary / city map of Memphis during the yellow fever era,map,Library of Congress / period publishers,1878,Library of Congress G&M,Public domain — published 1878,Yes,https://www.loc.gov/maps/?q=memphis+tennessee+1878+city+plan,search,"Map of the city of Memphis, Tennessee, c. 1878. Library of Congress Geography and Map Division.","Late-1870s street map of Memphis, the city devastated by the 1878 yellow fever epidemic.",NO,SSP.06; SSP.01,"A Memphis city or sanitary map from the epidemic years supports discussion of low-lying, unsanitary districts and mass flight from the city.",OK
Tennessee in the New South (1880-1890s),TN.42,Describe the events that led to the Coal Creek Wars in Anderson and the surrounding counties over the state of Tennessee’s decision to replace coal miners with prisoners.,Yes,Map of the Tennessee coal fields and Anderson County mining district,map,U.S. Geological Survey / Tennessee Geological Survey,1900,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+coal+field+anderson+county+geology,search,"U.S. Geological Survey, coal-field map of the Cumberland Plateau / Anderson County, Tennessee, c. 1900. Library of Congress Geography and Map Division.","Geologic map of the East Tennessee coal fields around Coal Creek and Anderson County, site of the Coal Creek Wars.",NO,SSP.06; SSP.01,USGS/state coal-field maps (PD) locate the Coal Creek mines and Anderson County where convict-lease conflict erupted.,OK
Tennessee: Reform and War (1900-1945),TN.50,"Describe major developments in country music (e.g., Grand Ole Opry, WSM, and the Carter family) and blues music (e.g., W.C. Handy and Bessie Smith) in Tennessee during this era.",Yes,"Sanborn fire insurance map of Beale Street, Memphis (blues district)",map,Sanborn Map Company,1907,Library of Congress G&M,Public domain — published before 1929,Yes,https://www.loc.gov/maps/?q=sanborn+memphis+beale+street,search,"Sanborn Map Company, fire insurance map of Memphis (Beale Street), c. 1907. Library of Congress Geography and Map Division.","Detailed block map of Beale Street, Memphis, the birthplace district of the blues (W.C. Handy).",NO,SSP.06; SSP.01,Pair a Beale Street (Memphis blues) Sanborn map with a Nashville map for WSM/Grand Ole Opry country-music geography.,OK
Tennessee: Reform and War (1900-1945),TN.51,"Describe how the Great Depression and New Deal programs impacted Tennesseans, including the significance of: the Agricultural Adjustment Act, Civilian Conservation Corps, Tennessee Valley Authority, and Great Smoky Mountains National Park.",Yes,Map of the Tennessee Valley Authority dams and reservoir system,map,Tennessee Valley Authority,1940,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+valley+authority+dams+reservoir+system,search,"Tennessee Valley Authority, map of the TVA dam and reservoir system, c. 1940. Library of Congress Geography and Map Division.","Map of the Tennessee River watershed showing TVA dams, reservoirs, and the seven-state service region.",NO,SSP.06; SSP.01,"TVA is a federal agency, so its dam/reservoir maps are PD; the definitive New Deal geography source for TN.51.",OK
Tennessee: Reform and War (1900-1945),TN.51,"Describe how the Great Depression and New Deal programs impacted Tennesseans, including the significance of: the Agricultural Adjustment Act, Civilian Conservation Corps, Tennessee Valley Authority, and Great Smoky Mountains National Park.",Yes,Map of Great Smoky Mountains National Park,map,National Park Service,1940,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/grsm/planyourvisit/maps.htm,canonical,"National Park Service, Great Smoky Mountains National Park map. nps.gov.","Map of Great Smoky Mountains National Park along the Tennessee-North Carolina border, established during the New Deal era.",NO,SSP.06; SSP.01,Great Smoky Mountains NP map (PD) supports the New Deal / CCC part of the standard alongside the TVA map.,OK
Tennessee: Reform and War (1900-1945),TN.53,"Evaluate Tennessee’s contributions during World War II, including the impact of Camp Forrest, Camp Tyson, and Oak Ridge as well as the influence of Tennesseans during the war (e.g., Cornelia Fort and Cordell Hull).",Yes,"Map of Oak Ridge, Tennessee (Manhattan Project) and WWII installations",map,National Park Service / Manhattan Project National Historical Park,1945,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/mapr/oak-ridge.htm,canonical,"National Park Service, Manhattan Project National Historical Park — Oak Ridge, Tennessee. nps.gov.","Map of the Oak Ridge site in East Tennessee, the secret Manhattan Project city, plus WWII training camps.",NO,SSP.06; SSP.01,Oak Ridge/Manhattan Project map (PD) anchors WWII contributions; add a state map marking Camp Forrest (Tullahoma) and Camp Tyson (Paris).,OK
Tennessee in Modern Times (1945-present),TN.54,Describe major agricultural shifts in Tennessee post-World War II and their impact economically and socially.,Yes,"Census agricultural map of Tennessee land use, mid-20th century",map,U.S. Census Bureau / USDA,1950,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+agriculture+census+1950+farms,search,"U.S. Census of Agriculture / USDA, land-use and farm maps of Tennessee, c. 1945-1954. Library of Congress Geography and Map Division.","Mid-century census map shading Tennessee counties by farm size, crop, and land use during postwar agricultural change.",NO,SSP.06; SSP.01,"USDA/Census maps (PD) show mechanization, farm consolidation, and the shift away from cotton/tenant farming after WWII.",OK
Tennessee in Modern Times (1945-present),TN.58,"Describe the purpose of Martin Luther King, Jr.’s presence in Memphis, the circumstances leading to his assassination, and the significance of the placement of the National Civil Rights Museum at the Lorraine Motel. (T.C.A. § 49-6-1006)",Yes,Map of downtown Memphis showing the Lorraine Motel (National Civil Rights Museum),map,U.S. Geological Survey,1965,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=memphis+tennessee+downtown+1960s,search,"U.S. Geological Survey, topographic/city map of Memphis, Tennessee, 1960s. Library of Congress Geography and Map Division.","Downtown Memphis map locating the Lorraine Motel, site of Dr. King's 1968 assassination and now the National Civil Rights Museum.",NO,SSP.06; SSP.01,Use a 1960s Memphis USGS topo/city map to place the Lorraine Motel and downtown route of the 1968 sanitation strike.,OK
Tennessee in Modern Times (1945-present),TN.62,"Identify major attractions and events that fuel the tourism industry in Tennessee, including the impact of: Bristol Motor Speedway; Pigeon Forge (Gatlinburg); Civil War sites; State and national parks; CMA Music Festival; Tennessee Aquarium; Graceland",Yes,Map of Tennessee state and national parks and major attractions,map,National Park Service / Tennessee State Parks,2010,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/state/tn/index.htm,canonical,"National Park Service, Tennessee national park units map. nps.gov.","Statewide map of Tennessee showing national and state parks, Civil War sites, and major tourist destinations.",NO,SSP.06; SSP.01,"NPS Tennessee state index map (PD) locates Great Smoky, Civil War battlefields, and other draws; pair with a Tennessee State Parks map for Pigeon Forge/Gatlinburg, Bristol, and Graceland-area tourism.",OK
