Unit / Cluster,Standard,Standard Text,Chart Title,Chart Type,What the Chart Shows,Data Source,Data Source URL,Data Rights,Commercial OK?,Citation,Schedule F (SSP),Build Note,Guardrail Check
World War I through the Depression (1910s-1930s),W.40,"Describe the collapse of international economies in 1929 that led to the Great Depression, including the significance of: Overproduction; Unemployment; Inflation; Restrictive trade policies; Post-war economic relationships between the U.S. and Europe","U.S. Industrial Production Collapse and Recovery, 1928–1939",line,"Line chart showing U.S. industrial output falling sharply after 1929 and slowly recovering, illustrating overproduction and collapse.",FRED / Federal Reserve Board Industrial Production Index,https://fred.stlouisfed.org/series/INDPRO,Public Domain (U.S. Government / Federal Reserve data),Yes,"Federal Reserve Bank of St. Louis (FRED), Industrial Production Index (INDPRO). Public domain.",SSP.03; SSP.04,Supports the 'overproduction' and economic-collapse elements of W.40.,OK
World War I through the Depression (1910s-1930s),W.40,"Describe the collapse of international economies in 1929 that led to the Great Depression, including the significance of: Overproduction; Unemployment; Inflation; Restrictive trade policies; Post-war economic relationships between the U.S. and Europe","The Contracting Spiral of World Trade, 1929–1933",line,Spiral/line chart showing the total value of world trade shrinking month by month from 1929 to 1933 as tariffs and depression choked commerce.,League of Nations trade statistics (Kindleberger 'spiral'); mirrored in Our World in Data trade data,https://ourworldindata.org/trade-and-globalization,Public Domain (pre-1945 statistical tables),Yes,"League of Nations, Monthly Bulletin of Statistics (1933), world trade value by month; public domain. Contextualized via Our World in Data 'Trade and Globalization' (CC BY 4.0).",SSP.02; SSP.04,Supports the 'restrictive trade policies' and international-collapse elements of W.40; the classic Kindleberger contracting-spiral figure.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.53,"Describe the cultural, economic, geographic, and political effects of World War II, including: Casualties of the war (military and civilian); Changes to geopolitical boundaries; Creation of the United Nations; Destruction of cultural heritage; Division of Germany; Impact of the Nuremberg trials; Refugees and displaced populations",World War II Deaths by Country (Military and Civilian),bar,"Bar chart ranking total World War II deaths by country, highlighting the immense losses of the Soviet Union and China.",Our World in Data (based on historical WWII casualty estimates),https://ourworldindata.org/grapher/deaths-world-war-two-by-country,CC BY 4.0,Yes,"Our World in Data, 'War and Peace.' CC BY 4.0.",SSP.01; SSP.02,Directly supports the 'casualties of the war (military and civilian)' effect in W.53.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.53,"Describe the cultural, economic, geographic, and political effects of World War II, including: Casualties of the war (military and civilian); Changes to geopolitical boundaries; Creation of the United Nations; Destruction of cultural heritage; Division of Germany; Impact of the Nuremberg trials; Refugees and displaced populations",World War II: Military vs. Civilian Deaths,stacked-bar,"Stacked bar chart splitting World War II deaths into military and civilian categories, underscoring the toll of total war on civilians.",Our World in Data (based on historical WWII casualty estimates),https://ourworldindata.org/grapher/deaths-world-war-two-by-country,CC BY 4.0,Yes,"Our World in Data, 'War and Peace.' CC BY 4.0.",SSP.03; SSP.04,Reinforces the total-war civilian toll and refugee context of W.53.,OK
Cold War (1945-1991),W.57,"Analyze the rise of communism and Mao Zedong in China, as well as the related political, social, and economic impacts on China.","Excess Mortality During China's Great Leap Forward Famine, 1958–1962",line,Line chart showing a sharp spike in Chinese mortality during the Great Leap Forward famine of the early 1960s.,Our World in Data (based on famine mortality estimates),https://ourworldindata.org/grapher/famine-deaths-by-decade,CC BY 4.0,Yes,"Our World in Data, 'Famines.' CC BY 4.0.",SSP.02; SSP.04,Quantifies the economic and social impact of Mao's policies in W.57.,OK
Cold War (1945-1991),W.61,"Explain the role of the nuclear arms race, mutual assured destruction, and arms control agreements within the context of rising tensions between the Soviet Union and U.S.","Nuclear Warhead Stockpiles: United States vs. Soviet Union/Russia, 1945–Present",line,"Line chart showing U.S. and Soviet/Russian nuclear warhead stockpiles climbing through the Cold War arms race to a 1980s peak, then declining under arms-control treaties.",Our World in Data (based on Federation of American Scientists Nuclear Notebook),https://ourworldindata.org/grapher/nuclear-warhead-stockpiles,CC BY 4.0,Yes,"Our World in Data, 'Nuclear Weapons,' based on the Federation of American Scientists Nuclear Notebook. CC BY 4.0.",SSP.01; SSP.04,"The workhorse chart for the arms race, MAD, and arms-control agreements in W.61.",OK
Cold War (1945-1991),W.65,"Analyze the political, economic, social, and geographic consequences of the collapse of communist governments in the Soviet Union and Eastern Europe.","Collapse of Russian GDP per Capita After the Fall of the Soviet Union, 1989–1998",line,"Line chart showing Russian GDP per capita falling sharply in the 1990s after the collapse of communism, before a later recovery.",Maddison Project Database 2023,https://ourworldindata.org/grapher/gdp-per-capita-maddison,CC BY 4.0,Yes,"Maddison Project Database 2023, Groningen Growth and Development Centre. CC BY 4.0.",SSP.03; SSP.04,Visualizes the economic consequences of communism's collapse in W.65.,OK
Creation of New States and Decolonization (1940s-1980s),W.66,Explain the push and pull factors of migration.,"Number of International Migrants Worldwide, 1990–Present",line,"Line chart of the growing number of international migrants worldwide, illustrating the scale of modern migration and its push-pull drivers.",Our World in Data (based on UN DESA International Migrant Stock),https://ourworldindata.org/grapher/international-migrants-by-world-region,CC BY 4.0,Yes,"Our World in Data, 'Migration,' based on UN DESA International Migrant Stock. CC BY 4.0.",SSP.01; SSP.06,Grounds the push-pull migration concept of W.66 in real global data.,OK
Creation of New States and Decolonization (1940s-1980s),W.69,"Describe the development, goals, and outcomes of nationalist movements in Africa, including the ideas and roles of nationalist leaders (e.g., Jomo Kenyatta, Patrice Lumumba, and Gamal Abdel Nasser).","Number of Sovereign States in the World, 1800–Present (Decolonization Timeline)",line,Step/line chart showing the number of independent states jumping sharply in the 1950s-1960s as African and Asian colonies won independence.,Our World in Data (based on Correlates of War / Gleditsch & Ward state system membership),https://ourworldindata.org/grapher/number-of-countries,CC BY 4.0,Yes,"Our World in Data, based on the Correlates of War state system membership data. CC BY 4.0.",SSP.01; SSP.05,The signature decolonization chart; the postwar spike maps directly onto African nationalist movements in W.69.,OK
Understanding the Contemporary World (1980s- present),W.77,"Analyze the demographic changes of countries in post-World War II regions, using population pyramids and census data.",Population Pyramids: Japan vs. Nigeria (Age-Sex Structure),population-pyramid,Side-by-side population pyramids contrasting Japan's top-heavy aging structure with Nigeria's broad-based youthful structure.,U.S. Census Bureau International Database (IDB),https://www.census.gov/data-tools/demo/idb/,Public Domain (U.S. Government work),Yes,"U.S. Census Bureau, International Database (IDB). Public domain.",SSP.01; SSP.06,W.77 explicitly names population pyramids and census data; the Census IDB is the ideal PD source.,OK
Understanding the Contemporary World (1980s- present),W.78,"Explain the challenges of rapid population growth on developing countries (e.g., China and India) and of population decline in developed countries (e.g., Germany, Japan, and Sweden), and give examples of policies implemented to both slow and increase population growth.","Total Fertility Rate: China and India vs. Germany, Japan, and Sweden, 1950–Present",line,"Line chart comparing births per woman in rapidly growing developing countries with the below-replacement rates of Germany, Japan, and Sweden.",Our World in Data (based on UN World Population Prospects),https://ourworldindata.org/grapher/children-per-woman-un,CC BY 4.0,Yes,"Our World in Data, 'Fertility Rate,' based on UN World Population Prospects. CC BY 4.0.",SSP.03; SSP.04,Directly supports the growth-vs-decline comparison and population policy discussion in W.78.,OK
Understanding the Contemporary World (1980s- present),W.78,"Explain the challenges of rapid population growth on developing countries (e.g., China and India) and of population decline in developed countries (e.g., Germany, Japan, and Sweden), and give examples of policies implemented to both slow and increase population growth.","Projected Population of China and India, 1950–2100",line,"Line chart of Chinese and Indian population over time and into projection, showing India overtaking China amid diverging growth paths.",U.S. Census Bureau International Database (IDB),https://www.census.gov/data-tools/demo/idb/,Public Domain (U.S. Government work),Yes,"U.S. Census Bureau, International Database (IDB). Public domain.",SSP.01; SSP.04,Supports the rapid-growth challenge in developing countries in W.78 using PD Census projections.,OK
Understanding the Contemporary World (1980s- present),W.79,"Describe the cultural, economic, geographic, and political effects of significant technological, ideological, medical, and scientific developments and breakthroughs of the era.","Global Literacy Rate, 1800–Present",line,Line chart showing the global literacy rate climbing from roughly 12 percent in 1800 to over 85 percent today.,Our World in Data (based on UNESCO and historical estimates),https://ourworldindata.org/grapher/literate-and-illiterate-world-population,CC BY 4.0,Yes,"Our World in Data, 'Literacy,' based on UNESCO and historical estimates. CC BY 4.0.",SSP.03; SSP.04,Illustrates the human-development effects of modern scientific and educational breakthroughs in W.79.,OK
Understanding the Contemporary World (1980s- present),W.79,"Describe the cultural, economic, geographic, and political effects of significant technological, ideological, medical, and scientific developments and breakthroughs of the era.","Global Life Expectancy, 1770–Present",line,"Line chart of global average life expectancy roughly doubling since 1800, driven by medical and public-health breakthroughs.",Our World in Data (based on Riley 2005 and UN),https://ourworldindata.org/grapher/life-expectancy,CC BY 4.0,Yes,"Our World in Data, 'Life Expectancy,' based on Riley (2005) and UN estimates. CC BY 4.0.",SSP.03; SSP.05,Supports the medical/scientific breakthrough effects of W.79 at global scale.,OK
Understanding the Contemporary World (1980s- present),W.82,"Analyze how technology has intensified patterns of globalization and led to the idea of space-time compression, containerization, and computer technology.","World Trade as a Share of Global GDP, 1800–Present",line,"Line chart showing trade as a share of world GDP rising in waves, with a steep climb during late-20th-century globalization.",Our World in Data (based on Klasing & Milionis and World Bank),https://ourworldindata.org/grapher/trade-openness,CC BY 4.0,Yes,"Our World in Data, 'Trade and Globalization,' based on Klasing & Milionis (2014) and World Bank. CC BY 4.0.",SSP.01; SSP.04,Quantifies the intensifying globalization and space-time compression of W.82 (and supports W.83).,OK
Understanding the Contemporary World (1980s- present),W.85,Analyze the causes and effects of an increased role of South and East Asian countries in the global economy.,"Share of World GDP: China and India Rising, 1950–Present",line,Line chart showing China's and India's share of world economic output climbing steeply from the late 20th century onward.,Maddison Project Database 2023,https://ourworldindata.org/grapher/share-of-world-gdp-over-the-long-run,CC BY 4.0,Yes,"Maddison Project Database 2023, Groningen Growth and Development Centre. CC BY 4.0.",SSP.03; SSP.04,Shows the rising role of South and East Asian economies in W.85; mirror image of the W.24 decline.,OK
Understanding the Contemporary World (1980s- present),W.86,Describe the international importance and rapid economic development of the oil-rich Persian Gulf states.,"Crude Oil Production by Persian Gulf Producers, 1980–Present",line,"Line chart of crude oil production by Saudi Arabia, Iran, Iraq, Kuwait, and the UAE, showing the scale of Persian Gulf output.","U.S. Energy Information Administration, International Energy Statistics",https://www.eia.gov/international/data/world,Public Domain (U.S. Government work),Yes,"U.S. Energy Information Administration (EIA), International Energy Statistics. Public domain.",SSP.01; SSP.06,Documents the oil wealth and global importance of the Persian Gulf states in W.86.,OK
Understanding the Contemporary World (1980s- present),W.87,Explain implications of the transition from the use of fossil fuels to alternative and renewable energy sources.,"Global Energy Consumption by Source, 1800–Present (Fossil vs. Renewable)",stacked-area,"Stacked area chart of world energy consumption by source, showing fossil fuels dominating with renewables emerging as a growing share.",Our World in Data (based on Energy Institute Statistical Review and Smil),https://ourworldindata.org/grapher/global-energy-substitution,CC BY 4.0,Yes,"Our World in Data, 'Energy,' based on the Energy Institute Statistical Review and Vaclav Smil. CC BY 4.0.",SSP.03; SSP.04,Frames the fossil-to-renewable transition central to W.87.,OK
Understanding the Contemporary World (1980s- present),W.87,Explain implications of the transition from the use of fossil fuels to alternative and renewable energy sources.,"Atmospheric CO2 Concentration (Keeling Curve), 1958–Present",line,"Line chart of rising atmospheric carbon dioxide concentration measured at Mauna Loa since 1958, the classic Keeling Curve.","NOAA Global Monitoring Laboratory, Mauna Loa CO2 record",https://gml.noaa.gov/ccgg/trends/data.html,Public Domain (U.S. Government work),Yes,"NOAA Global Monitoring Laboratory, Mauna Loa Observatory CO2 record (Keeling Curve). Public domain.",SSP.02; SSP.04,Grounds the environmental stakes of the fossil-fuel-to-renewable transition (W.87) in PD NOAA data.,OK
Understanding the Contemporary World (1980s- present),W.89,Analyze the causes and consequences of terrorism and international efforts to counteract it.,Deaths from Terrorism Worldwide Over Time,line,"Line chart showing worldwide deaths from terrorism over time, with visible spikes around major events of the 2000s and 2010s.",Our World in Data (based on the Global Terrorism Database),https://ourworldindata.org/grapher/fatalities-from-terrorism,CC BY 4.0,Yes,"Our World in Data, 'Terrorism,' based on the Global Terrorism Database (START, University of Maryland). CC BY 4.0.",SSP.02; SSP.03,Quantifies the scale and trend of contemporary terrorism for W.89.,OK
