Unit / Cluster,Standard,Standard Text,Cartoon Title,Type,Creator,Year,Repository,Rights / License,Commercial OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Sectionalism and Reform (1790s-1850s),8.35,Analyze the characteristics of Southern society and its influence on the social and political conditions prior to the Civil War.,Slavery As It Exists in America,cartoon,Unknown (American lithograph),1850,"Library of Congress, Prints & Photographs Division",Public domain — published 1850,Yes,https://www.loc.gov/pictures/search/?q=Slavery%20As%20It%20Exists%20in%20America%201850,search,"""Slavery As It Exists in America,"" 1850. Library of Congress, Prints & Photographs Division. Public domain.",A pro-slavery cartoon contrasting an idealized scene of enslaved people in the American South with harsh Northern/British industrial labor.,NO,SSP.01; SSP.02,A Southern pro-slavery defense useful for analyzing how Southern society justified itself; teach as biased primary-source argument (author's purpose/point of view).,OK
Sectionalism and Reform (1790s-1850s),8.39,"Identify the push-pull factors for Irish and German immigrants, and describe the impact of their arrival in the U.S. prior to the Civil War.","The Propagation Society, More Free than Welcome",cartoon,Nathaniel Currier,1855,"Library of Congress, Prints & Photographs Division",Public domain — published 1855,Yes,https://www.loc.gov/pictures/search/?q=Propagation%20Society%20More%20Free%20than%20Welcome,search,"Nathaniel Currier, ""The Propagation Society, More Free than Welcome,"" 1855. Library of Congress, Prints & Photographs Division. Public domain.","A nativist cartoon showing the Pope and Catholic clergy landing in America, expressing fears about Irish and Catholic immigration.",NO,SSP.01; SSP.02,A Know-Nothing-era nativist cartoon reflecting reaction to Irish (Catholic) immigration before the Civil War; teach the anti-immigrant bias critically.,OK
Sectionalism and Reform (1790s-1850s),8.42,"Analyze the development of the women’s suffrage movement, including the Seneca Falls Convention, and the ideals of Susan B. Anthony, Elizabeth Cady Stanton, and Sojourner Truth.","The Age of Brass, or the Triumphs of Woman's Rights",cartoon,Currier & Ives,1869,"Library of Congress, Prints & Photographs Division",Public domain — published 1869,Yes,https://www.loc.gov/pictures/search/?q=Age%20of%20Brass%20Woman%27s%20Rights%20Currier,search,"Currier & Ives, ""The Age of Brass, or the Triumphs of Woman's Rights,"" 1869. Library of Congress, Prints & Photographs Division. Public domain.","A satirical cartoon of women voting and asserting rights while a man minds a baby, mocking the woman-suffrage movement.",NO,SSP.01; SSP.02,An anti-suffrage satire useful for analyzing opposition to the women's-rights movement launched at Seneca Falls; teach the bias/point of view.,OK
Sectionalism and Reform (1790s-1850s),8.43,"Analyze the significance of leading abolitionists, including William Lloyd Garrison, Frederick Douglass, Elihu Embree, and Harriet Tubman, and the methods they used to spread the movement.",Practical Illustration of the Fugitive Slave Law,cartoon,Edward Williams Clay (attributed),1851,"Library of Congress, Prints & Photographs Division",Public domain — published 1851,Yes,https://www.loc.gov/pictures/search/?q=Practical%20Illustration%20Fugitive%20Slave%20Law,search,"""Practical Illustration of the Fugitive Slave Law,"" 1851. Library of Congress, Prints & Photographs Division. Public domain.","Abolitionist William Lloyd Garrison defends a fugitive slave against a mounted slave catcher, dramatizing the abolition struggle.",NO,SSP.01; SSP.02,Prominently features named abolitionist William Lloyd Garrison confronting the slave-catching system.,OK
The Jacksonian Era (1824-1840),8.45,"Examine the importance of the elections of 1824 and 1828, including: the corrupt bargain, the spoils system, and Jacksonian Democracy.",A Foot-Race,cartoon,David Claypoole Johnston,1824,"Library of Congress, Prints & Photographs Division",Public domain — published 1824,Yes,https://www.loc.gov/pictures/search/?q=Foot-Race%20Johnston%201824%20Jackson%20Adams%20Crawford,search,"David Claypoole Johnston, ""A Foot-Race,"" 1824. Library of Congress, Prints & Photographs Division. Public domain.","Candidates Andrew Jackson, John Quincy Adams, and William Crawford race toward the presidency as onlookers wager on the 1824 election.",NO,SSP.01; SSP.02,Depicts the contested election of 1824 that produced the 'corrupt bargain.',OK
The Jacksonian Era (1824-1840),8.46,"Examine President Andrew Jackson’s actions regarding the Bank of the U.S. and the Nullification Crisis, and analyze the effects of these events on the nation.",King Andrew the First,cartoon,Unknown (anti-Jackson Whig print),c. 1833,"Library of Congress, Prints & Photographs Division",Public domain — published c. 1833,Yes,https://www.loc.gov/pictures/search/?q=King%20Andrew%20the%20First,search,"""King Andrew the First,"" c. 1833. Library of Congress, Prints & Photographs Division. Public domain.","Andrew Jackson stands as a crowned king in royal robes, trampling the Constitution and holding a veto, after vetoing the Bank of the United States.",NO,SSP.01; SSP.02,The definitive Bank War cartoon attacking Jackson's veto and expansion of executive power.,OK
Expansion and Division of the Nation (1820s-1860s),8.55,"Analyze the discovery of gold in California, its social and economic impact on the U.S., and the major migratory movement (including the forty-niners and Asian immigrants).",The Way They Go to California,cartoon,Nathaniel Currier (Currier & Ives),1849,"Library of Congress, Prints & Photographs Division",Public domain — published 1849,Yes,https://www.loc.gov/pictures/search/?q=The%20Way%20They%20Go%20to%20California%20Currier,search,"Nathaniel Currier, ""The Way They Go to California,"" 1849. Library of Congress, Prints & Photographs Division. Public domain.",Crowds of fortune-seekers scramble aboard overloaded ships and fanciful flying machines bound for the California gold fields.,NO,SSP.01; SSP.02,Satirizes the frenzy of the 1849 Gold Rush and the mass migration west.,OK
Expansion and Division of the Nation (1820s-1860s),8.56,Explain the reasons for and the impact of the Compromise of 1850 (including Henry Clay’s role as “The Great Compromiser”) and the Fugitive Slave Act (including Harriet Beecher Stowe’s influence with Uncle Tom’s Cabin).,Effects of the Fugitive-Slave-Law,cartoon,"Theodor Kaufmann (lithograph, Hoff & Bloede)",1850,"Library of Congress, Prints & Photographs Division",Public domain — published 1850,Yes,https://www.loc.gov/pictures/search/?q=Effects%20of%20the%20Fugitive%20Slave%20Law%201850,search,"Theodor Kaufmann, ""Effects of the Fugitive-Slave-Law,"" 1850. Library of Congress, Prints & Photographs Division. Public domain.","Armed slave catchers ambush and fire on a group of Black men in a field, condemning the Fugitive Slave Act of 1850.",NO,SSP.01; SSP.02,"A Northern indictment of the Fugitive Slave Act, a core provision of the Compromise of 1850.",OK
Expansion and Division of the Nation (1820s-1860s),8.58,"Explain the motivations behind the passage of the Kansas-Nebraska Act of 1854, and analyze the effects of act, including:
• Rise of the Republican Party
• “Bleeding Kansas”
• Preston Brooks’ attack on Charles Sumner
• John Brown’s raid at Harper’s Ferry",Forcing Slavery Down the Throat of a Freesoiler,cartoon,John L. Magee,1856,"Library of Congress, Prints & Photographs Division",Public domain — published 1856,Yes,https://www.loc.gov/pictures/search/?q=Forcing%20Slavery%20Down%20the%20Throat%20of%20a%20Freesoiler,search,"John L. Magee, ""Forcing Slavery Down the Throat of a Freesoiler,"" 1856. Library of Congress, Prints & Photographs Division. Public domain.","Democratic leaders (Douglas, Pierce, Buchanan, Cass) hold down a giant Free-Soiler on the Democratic platform and force slavery into his mouth, over a burning Kansas.",NO,SSP.01; SSP.02,The signature cartoon of 'Bleeding Kansas' and the Kansas-Nebraska crisis; task-named.,OK
The Civil War (1860-1865),8.61,"Describe the election of 1860 and its candidates (i.e., John Bell, Stephen Douglas, Abraham Lincoln, and John Breckinridge), and analyze how the campaigns reflected sectional turmoil in the country.","The Political Quadrille, Music by Dred Scott",cartoon,Unknown (American lithograph),1860,"Library of Congress, Prints & Photographs Division",Public domain — published 1860,Yes,https://www.loc.gov/pictures/search/?q=Political%20Quadrille%20Music%20by%20Dred%20Scott,search,"""The Political Quadrille, Music by Dred Scott,"" 1860. Library of Congress, Prints & Photographs Division. Public domain.","The four 1860 presidential candidates each dance with a partner while Dred Scott plays the fiddle at the center, mocking the fractured campaign.",NO,SSP.01; SSP.02,"Depicts all four candidates (Lincoln, Douglas, Breckinridge, Bell) of the four-way 1860 race and its sectional turmoil.",OK
The Civil War (1860-1865),8.62,"Describe the outbreak of the Civil War and the resulting sectional differences, including:
• Economic, geographic, and technological advances
• Military strategies
• Roles of President Abraham Lincoln and Jefferson Davis
• Significance of Fort Sumter
• Geographical divisions within states",Scott's Great Snake (The Anaconda Plan),cartoon,J. B. Elliott of Cincinnati,1861,"Library of Congress, Geography & Map Division",Public domain — published 1861,Yes,https://www.loc.gov/item/99447020/,canonical,"J. B. Elliott, ""Scott's Great Snake,"" Cincinnati, 1861. Library of Congress, Geography & Map Division. Public domain.",A cartoon map showing a giant snake labeled 'Scott' coiling around the Southern states and blockading the coast and Mississippi River.,NO,SSP.01; SSP.02,A cartoon map illustrating Winfield Scott's Anaconda Plan — Union military strategy at the outbreak of war.,OK
The Civil War (1860-1865),8.64,Analyze the significance of the Emancipation Proclamation and the Gettysburg Address.,Emancipation,cartoon,Thomas Nast,1865,"Library of Congress, Prints & Photographs Division",Public domain — published 1863/1865,Yes,https://www.loc.gov/pictures/search/?q=Nast%20Emancipation%201865,search,"Thomas Nast, ""Emancipation,"" King & Baird / Harper's Weekly, 1863–1865. Library of Congress, Prints & Photographs Division. Public domain.",Thomas Nast's allegory contrasting the horrors of slavery with a hopeful future of freedom for African Americans after emancipation.,NO,SSP.01; SSP.02,Nast's celebrated visual argument for the meaning of the Emancipation Proclamation.,OK
Reconstruction (1865-1877),8.68,"Explain the significance of the 13th, 14th, and 15th Amendments to the U.S. Constitution.",And Not This Man?,cartoon,Thomas Nast,1865,HarpWeek / Harper's Weekly (via Library of Congress),Public domain — published 1865,Yes,https://www.loc.gov/pictures/search/?q=Nast%20And%20Not%20This%20Man%20franchise,search,"Thomas Nast, ""Franchise. And Not This Man?"" Harper's Weekly, August 5, 1865. Public domain.","Columbia points to a wounded Black Union veteran on crutches and asks whether he should be denied the vote, arguing for Black suffrage.",NO,SSP.01; SSP.02,Nast's argument for the voting rights secured by the 14th and 15th Amendments.,OK
Reconstruction (1865-1877),8.71,"Analyze the conflict between President Andrew Johnson and the Radical Republicans, including Johnson’s veto of the Tenure of Office Act and his impeachment.",Andrew Johnson's Reconstruction and How It Works,cartoon,Thomas Nast,1866,HarpWeek / Harper's Weekly (via Library of Congress),Public domain — published 1866,Yes,https://www.loc.gov/pictures/search/?q=Nast%20Andrew%20Johnson%20Reconstruction%20how%20it%20works,search,"Thomas Nast, ""Andrew Johnson's Reconstruction and How It Works,"" Harper's Weekly, September 1, 1866. Public domain.","President Andrew Johnson portrayed as Iago beside a wounded Black veteran, blaming Johnson's lenient Reconstruction for postwar violence.",NO,SSP.01; SSP.02,Nast's attack on Johnson dramatizes the clash between the president and the Radical Republicans that led to impeachment.,OK
Reconstruction (1865-1877),8.72,"Explain the restrictions placed on the rights and opportunities of freedmen, including: racial segregation, black codes, and the efforts of the Freedmen's Bureau to address the problems confronting newly freed slaves.",The Freedman's Bureau! An Agency to Keep the Negro in Idleness,cartoon,Unknown (Pennsylvania Democratic campaign broadside),1866,"Library of Congress, Prints & Photographs Division",Public domain — published 1866,Yes,https://www.loc.gov/pictures/search/?q=Freedman%27s%20Bureau%20agency%20idleness%201866,search,"""The Freedman's Bureau!"" campaign broadside, Pennsylvania, 1866. Library of Congress, Prints & Photographs Division. Public domain.",A racist 1866 campaign cartoon caricaturing a Black man lounging while attacking the Freedmen's Bureau as wasteful to white taxpayers.,NO,SSP.01; SSP.02,A racist anti-Freedmen's-Bureau campaign cartoon; teach critically as evidence of white political opposition to freedmen's rights and the bias of the source.,OK
Reconstruction (1865-1877),8.73,"Trace the rise of the Ku Klux Klan and vigilante justice in the South and in Tennessee, including the role of Governor William Brownlow.",This Is a White Man's Government,cartoon,Thomas Nast,1868,HarpWeek / Harper's Weekly (via Library of Congress),Public domain — published 1868,Yes,https://www.loc.gov/pictures/search/?q=Nast%20This%20Is%20a%20White%20Man%27s%20Government,search,"Thomas Nast, ""This Is a White Man's Government,"" Harper's Weekly, September 5, 1868. Public domain.","An Irish rioter, a Ku Klux Klan member, and a Confederate (Nathan Bedford Forrest) clasp hands while trampling a Black Union veteran reaching for a ballot box.",NO,SSP.01; SSP.02,Nast condemns the Klan and vigilante suppression of Black voters; the Confederate figure is Tennessee's Nathan Bedford Forrest; task-named.,OK
Reconstruction (1865-1877),8.74,Explain the roles carpetbaggers and scalawags played during Reconstruction.,The Man with the (Carpet) Bags,cartoon,Thomas Nast,1872,HarpWeek / Harper's Weekly (via Library of Congress),Public domain — published 1872,Yes,https://www.loc.gov/pictures/search/?q=Nast%20The%20Man%20with%20the%20Carpet%20Bags,search,"Thomas Nast, ""The Man with the (Carpet) Bags,"" Harper's Weekly, 1872. Public domain.","A traveler loaded down with carpetbags, satirizing the 'carpetbagger' figure of Reconstruction politics.",NO,SSP.01; SSP.02,Directly illustrates the 'carpetbagger' epithet central to this standard on carpetbaggers and scalawags.,OK
Reconstruction (1865-1877),8.75,Explain the Compromise of 1877 and its role in ending Radical Reconstruction.,A Truce — Not a Compromise,cartoon,Thomas Nast,1877,HarpWeek / Harper's Weekly (via Library of Congress),Public domain — published 1877,Yes,https://www.loc.gov/pictures/search/?q=Nast%20A%20Truce%20Not%20a%20Compromise%201877,search,"Thomas Nast, ""A Truce — Not a Compromise,"" Harper's Weekly, 1877. Public domain.","A Union and a Confederate figure warily shake hands over a divide, commenting on the disputed 1876 election settlement.",NO,SSP.01; SSP.02,Nast's commentary on the Compromise of 1877 that ended Radical Reconstruction.,OK
