row_id,standard,title,repository,status,message,resolved_url,local_path,sha256,timestamp
13,W.05,What Is the Third Estate?,HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",,,,2026-08-02T20:00:16.629409Z
14,W.06,"The Storming of the Bastille, 14 July 1789",Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",,,,2026-08-02T20:00:16.630694Z
15,W.06,"The Execution of Louis XVI, January 1793",Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",,,,2026-08-02T20:00:16.632238Z
0,W.01,"Portrait of Louis XIV (""the Sun King"")",The Metropolitan Museum of Art,BROKEN_LINK,"No Met object matched required title tokens ['king', 'louis', 'sun', 'xiv'] AND creator tokens ['hyacinthe', 'rigaud'] for query 'Louis XIV Rigaud' within first 25 probed candidates (out of 886 total search hits).",,,,2026-08-02T20:00:23.256825Z
10,W.04,Portrait of Oliver Cromwell,The Metropolitan Museum of Art,BROKEN_LINK,"No Met object matched required title tokens ['cromwell', 'oliver'] AND creator tokens ['cooper', 'robert', 'samuel', 'walker'] for query 'Oliver Cromwell portrait' within first 25 probed candidates (out of 298 total search hits).",,,,2026-08-02T20:00:23.547613Z
17,W.07,Napoleon Bonaparte (portrait),The Metropolitan Museum of Art,BROKEN_LINK,"No Met object matched required title tokens ['bonaparte', 'napoleon'] AND creator tokens ['david', 'ingres'] for query 'Napoleon Bonaparte portrait' within first 25 probed candidates (out of 432 total search hits).",,,,2026-08-02T20:00:34.649538Z
19,W.08,Declaration of Independence (1776),U.S. National Archives (NARA),SUCCESS,"Downloaded + validated (50145 bytes, html).",https://www.archives.gov/founding-docs/declaration-transcript,/home/user/workspace/primary_source_pipeline/assets/W.08/W.08_declaration_of_independence_1776.html,b93167b4631cadd94b03b23cb26baff76e8d772ee1e6c35259339d8d31e644a4,2026-08-02T20:00:34.837694Z
20,W.08,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,"Downloaded + validated (9934 bytes, html).",https://avalon.law.yale.edu/18th_century/rightsof.asp,/home/user/workspace/primary_source_pipeline/assets/W.08/W.08_declaration_of_the_rights_of_man_and_of_the_citizen_1789.html,3bfed181297e3677aa3374b532365d77fed5e9172f6bc4a81c384f0208a7692d,2026-08-02T20:00:35.026451Z
5,W.02,Magna Carta (original engrossment),Library of Congress,ACCESS_BLOCKED,"Ambiguous LOC match: 2 items tie on title overlap for 'Magna Carta (original engrossment)' (query='Magna Carta'). URLs: ['https://www.loc.gov/item/library-publications/magna-carta/', 'https://www.loc.gov/item/2021689514/']",,,,2026-08-02T20:00:41.394316Z
22,W.09,"Code Napoléon (French Civil Code, 1804)",HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",,,,2026-08-02T20:00:41.395969Z
23,W.09,Congress of Vienna (1815) — print,Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",,,,2026-08-02T20:00:41.397500Z
16,W.06,"French Revolution prints (Bastille, Terror, Napoleon)",Library of Congress,ACCESS_BLOCKED,"Ambiguous LOC match: 3 items tie on title overlap for 'French Revolution prints (Bastille, Terror, Napoleon)' (query='French Revolution prints (Bastille, Terror, Napoleon)'). URLs: ['https://www.loc.gov/item/17008744/', 'https://www.loc.gov/item/13003679/', 'https://www.loc.gov/item/13006084/']",,,,2026-08-02T20:00:44.850981Z
21,W.09,Haitian Declaration of Independence (1804),Library of Congress,ACCESS_BLOCKED,"Ambiguous LOC match: 3 items tie on title overlap for 'Haitian Declaration of Independence (1804)' (query='Haitian Declaration of Independence (1804)'). URLs: ['https://www.loc.gov/item/02005254/', 'https://www.loc.gov/item/2025857408/', 'https://www.loc.gov/item/2024876325/']",,,,2026-08-02T20:00:47.383750Z
18,W.07,Map of the Napoleonic Empire / Russian Campaign of 1812,Library of Congress,ACCESS_BLOCKED,"Ambiguous LOC match: 6 items tie on title overlap for 'Map of the Napoleonic Empire / Russian Campaign of 1812' (query='Map of the Napoleonic Empire / Russian Campaign of 1812'). URLs: ['https://www.loc.gov/item/04011194/', 'https://www.loc.gov/item/13001682/', 'https://www.loc.gov/item/12019695/', 'https://www.loc.gov/item/04011385/', 'https://www.loc.gov/item/04017311/', 'https://www.loc.gov/item/04011187/']",,,,2026-08-02T20:01:03.428827Z
0,W.01,"Portrait of Louis XIV (""the Sun King"")",The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.204577Z
1,W.01,View of the Palace and Gardens of Versailles,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.204911Z
4,W.02,English Bill of Rights (1689),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.207890Z
6,W.03,Two Treatises of Government,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.208227Z
2,W.01,Portrait of Peter the Great of Russia,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.208301Z
7,W.03,Leviathan (frontispiece and text),HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.208837Z
8,W.03,The Social Contract / The Spirit of the Laws,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.209034Z
9,W.04,The Execution of King Charles I (1649),Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.209105Z
10,W.04,Portrait of Oliver Cromwell,The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.209537Z
11,W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Library of Congress,SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.209547Z
3,W.02,Magna Carta (1215),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.209672Z
12,W.05,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.209820Z
13,W.05,What Is the Third Estate?,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.210202Z
5,W.02,Magna Carta (original engrossment),Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.210318Z
15,W.06,"The Execution of Louis XVI, January 1793",Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.210595Z
16,W.06,"French Revolution prints (Bastille, Terror, Napoleon)",Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.210640Z
14,W.06,"The Storming of the Bastille, 14 July 1789",Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.211161Z
19,W.08,Declaration of Independence (1776),U.S. National Archives (NARA),SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.211173Z
17,W.07,Napoleon Bonaparte (portrait),The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.211192Z
21,W.09,Haitian Declaration of Independence (1804),Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.211770Z
22,W.09,"Code Napoléon (French Civil Code, 1804)",HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.211804Z
20,W.08,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.211834Z
23,W.09,Congress of Vienna (1815) — print,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.212199Z
18,W.07,Map of the Napoleonic Empire / Russian Campaign of 1812,Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:01:52.212210Z
3,W.02,Magna Carta (1215),"Avalon Project, Yale Law School",UPLOADED,Asset and citation sidecar uploaded and size-verified.,https://avalon.law.yale.edu/medieval/magna.asp,/home/user/workspace/primary_source_pipeline/assets/W.02/W.02_magna_carta_1215.html,3f56ff98d6b827c81706d2a6ebeb19408e5a2f8bad2a242e06cdc5857541f9fa,2026-08-02T20:08:08.285297Z
3,W.02,Magna Carta (1215),"Avalon Project, Yale Law School",SUCCESS,Drive upload complete and verified.,https://avalon.law.yale.edu/medieval/magna.asp,/home/user/workspace/primary_source_pipeline/assets/W.02/W.02_magna_carta_1215.html,3f56ff98d6b827c81706d2a6ebeb19408e5a2f8bad2a242e06cdc5857541f9fa,2026-08-02T20:08:08.285665Z
4,W.02,English Bill of Rights (1689),"Avalon Project, Yale Law School",UPLOADED,Asset and citation sidecar uploaded and size-verified.,https://avalon.law.yale.edu/17th_century/england.asp,/home/user/workspace/primary_source_pipeline/assets/W.02/W.02_english_bill_of_rights_1689.html,4738367d8a81826f1eb24377deb0f5d80a9c96351087b09a3fe3b384ec304423,2026-08-02T20:08:13.219515Z
4,W.02,English Bill of Rights (1689),"Avalon Project, Yale Law School",SUCCESS,Drive upload complete and verified.,https://avalon.law.yale.edu/17th_century/england.asp,/home/user/workspace/primary_source_pipeline/assets/W.02/W.02_english_bill_of_rights_1689.html,4738367d8a81826f1eb24377deb0f5d80a9c96351087b09a3fe3b384ec304423,2026-08-02T20:08:13.219797Z
11,W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Library of Congress,UPLOADED,Asset and citation sidecar uploaded and size-verified.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/05800/05897v.jpg#h=1024&w=778,/home/user/workspace/primary_source_pipeline/assets/W.05/W.05_a_faut_esperer_q_eu_jeu_la_finira_bentot_the_third_estate.jpg,8289be855115e0c83525053ce13960bcce78552fa08243d63cc54a2670b43baa,2026-08-02T20:08:19.457578Z
11,W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Library of Congress,SUCCESS,Drive upload complete and verified.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/05800/05897v.jpg#h=1024&w=778,/home/user/workspace/primary_source_pipeline/assets/W.05/W.05_a_faut_esperer_q_eu_jeu_la_finira_bentot_the_third_estate.jpg,8289be855115e0c83525053ce13960bcce78552fa08243d63cc54a2670b43baa,2026-08-02T20:08:19.457932Z
12,W.05,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",UPLOADED,Asset and citation sidecar uploaded and size-verified.,https://avalon.law.yale.edu/18th_century/rightsof.asp,/home/user/workspace/primary_source_pipeline/assets/W.05/W.05_declaration_of_the_rights_of_man_and_of_the_citizen_1789.html,3bfed181297e3677aa3374b532365d77fed5e9172f6bc4a81c384f0208a7692d,2026-08-02T20:08:24.416651Z
12,W.05,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Drive upload complete and verified.,https://avalon.law.yale.edu/18th_century/rightsof.asp,/home/user/workspace/primary_source_pipeline/assets/W.05/W.05_declaration_of_the_rights_of_man_and_of_the_citizen_1789.html,3bfed181297e3677aa3374b532365d77fed5e9172f6bc4a81c384f0208a7692d,2026-08-02T20:08:24.416932Z
19,W.08,Declaration of Independence (1776),U.S. National Archives (NARA),UPLOADED,Asset and citation sidecar uploaded and size-verified.,https://www.archives.gov/founding-docs/declaration-transcript,/home/user/workspace/primary_source_pipeline/assets/W.08/W.08_declaration_of_independence_1776.html,b93167b4631cadd94b03b23cb26baff76e8d772ee1e6c35259339d8d31e644a4,2026-08-02T20:08:29.814624Z
19,W.08,Declaration of Independence (1776),U.S. National Archives (NARA),SUCCESS,Drive upload complete and verified.,https://www.archives.gov/founding-docs/declaration-transcript,/home/user/workspace/primary_source_pipeline/assets/W.08/W.08_declaration_of_independence_1776.html,b93167b4631cadd94b03b23cb26baff76e8d772ee1e6c35259339d8d31e644a4,2026-08-02T20:08:29.814929Z
20,W.08,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",UPLOADED,Asset and citation sidecar uploaded and size-verified.,https://avalon.law.yale.edu/18th_century/rightsof.asp,/home/user/workspace/primary_source_pipeline/assets/W.08/W.08_declaration_of_the_rights_of_man_and_of_the_citizen_1789.html,3bfed181297e3677aa3374b532365d77fed5e9172f6bc4a81c384f0208a7692d,2026-08-02T20:08:34.529473Z
20,W.08,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Drive upload complete and verified.,https://avalon.law.yale.edu/18th_century/rightsof.asp,/home/user/workspace/primary_source_pipeline/assets/W.08/W.08_declaration_of_the_rights_of_man_and_of_the_citizen_1789.html,3bfed181297e3677aa3374b532365d77fed5e9172f6bc4a81c384f0208a7692d,2026-08-02T20:08:34.529798Z
0,W.01,"Portrait of Louis XIV (""the Sun King"")",The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.501776Z
1,W.01,View of the Palace and Gardens of Versailles,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.502104Z
2,W.01,Portrait of Peter the Great of Russia,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.502574Z
4,W.02,English Bill of Rights (1689),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.502878Z
3,W.02,Magna Carta (1215),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.503284Z
5,W.02,Magna Carta (original engrossment),Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.503711Z
8,W.03,The Social Contract / The Spirit of the Laws,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.503988Z
6,W.03,Two Treatises of Government,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.504265Z
7,W.03,Leviathan (frontispiece and text),HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.504623Z
9,W.04,The Execution of King Charles I (1649),Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.507174Z
13,W.05,What Is the Third Estate?,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.507488Z
14,W.06,"The Storming of the Bastille, 14 July 1789",Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.507810Z
15,W.06,"The Execution of Louis XVI, January 1793",Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.508097Z
16,W.06,"French Revolution prints (Bastille, Terror, Napoleon)",Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.508395Z
17,W.07,Napoleon Bonaparte (portrait),The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.508666Z
18,W.07,Map of the Napoleonic Empire / Russian Campaign of 1812,Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.508932Z
19,W.08,Declaration of Independence (1776),U.S. National Archives (NARA),SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.509219Z
20,W.08,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.509538Z
10,W.04,Portrait of Oliver Cromwell,The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.509868Z
22,W.09,"Code Napoléon (French Civil Code, 1804)",HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.510144Z
23,W.09,Congress of Vienna (1815) — print,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.510416Z
21,W.09,Haitian Declaration of Independence (1804),Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.511113Z
11,W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Library of Congress,SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.511484Z
12,W.05,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:08:47.511945Z
0,W.01,"Portrait of Louis XIV (""the Sun King"")",The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.186292Z
1,W.01,View of the Palace and Gardens of Versailles,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.186697Z
3,W.02,Magna Carta (1215),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.186950Z
4,W.02,English Bill of Rights (1689),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.189605Z
5,W.02,Magna Carta (original engrossment),Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.189620Z
2,W.01,Portrait of Peter the Great of Russia,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.189651Z
8,W.03,The Social Contract / The Spirit of the Laws,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.190370Z
6,W.03,Two Treatises of Government,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.190398Z
7,W.03,Leviathan (frontispiece and text),HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.190554Z
10,W.04,Portrait of Oliver Cromwell,The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.191042Z
12,W.05,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.191262Z
9,W.04,The Execution of King Charles I (1649),Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.191355Z
11,W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Library of Congress,SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.191660Z
16,W.06,"French Revolution prints (Bastille, Terror, Napoleon)",Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.191878Z
17,W.07,Napoleon Bonaparte (portrait),The Metropolitan Museum of Art,BROKEN_LINK,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.192063Z
18,W.07,Map of the Napoleonic Empire / Russian Campaign of 1812,Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.192235Z
19,W.08,Declaration of Independence (1776),U.S. National Archives (NARA),SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.192423Z
13,W.05,What Is the Third Estate?,HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.192495Z
15,W.06,"The Execution of Louis XVI, January 1793",Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.192798Z
14,W.06,"The Storming of the Bastille, 14 July 1789",Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.192811Z
20,W.08,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.193081Z
22,W.09,"Code Napoléon (French Civil Code, 1804)",HathiTrust Digital Library,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.193119Z
23,W.09,Congress of Vienna (1815) — print,Rijksmuseum,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.193499Z
21,W.09,Haitian Declaration of Independence (1804),Library of Congress,ACCESS_BLOCKED,Skipped (already terminal; resume-safe).,,,,2026-08-02T20:31:54.193803Z
26,W.11,Watt steam engine (patent model / engraving),Smithsonian Institution,ACCESS_BLOCKED,No resolver implemented for repository 'Smithsonian Institution'.,,,,2026-08-02T20:31:54.202365Z
24,W.10,Over London—by Rail,The New York Public Library Digital Collections,ACCESS_BLOCKED,No resolver implemented for repository 'The New York Public Library Digital Collections'.,,,,2026-08-02T20:31:54.205979Z
29,W.12,Great Exhibition / Crystal Palace (1851),The New York Public Library Digital Collections,ACCESS_BLOCKED,No resolver implemented for repository 'The New York Public Library Digital Collections'.,,,,2026-08-02T20:31:54.207199Z
28,W.12,Railway map of Europe (19th century),Library of Congress,ACCESS_BLOCKED,"Ambiguous LOC match: 9 items tie on title overlap for 'Railway map of Europe (19th century)' (query='Railway map of Europe (19th century)'). URLs: ['https://www.loc.gov/item/2021689131/', 'https://www.loc.gov/item/2020717875/', 'https://www.loc.gov/item/99004382/', 'https://www.loc.gov/item/c98000157/', 'https://www.loc.gov/item/07031748/', 'https://www.loc.gov/item/01030565/', 'https://www.loc.gov/item/01030699/', 'https://www.loc.gov/item/16025391/', 'https://www.loc.gov/item/2020718868/']",,,,2026-08-02T20:32:04.193093Z
31,W.13,The Interesting Narrative of the Life of Olaudah Equiano,"Documenting the American South, UNC-Chapel Hill",ACCESS_BLOCKED,"No resolver implemented for repository 'Documenting the American South, UNC-Chapel Hill'.",,,,2026-08-02T20:32:04.207283Z
32,W.14,Steam locomotive (early railway engine),Smithsonian Institution,ACCESS_BLOCKED,No resolver implemented for repository 'Smithsonian Institution'.,,,,2026-08-02T20:32:04.212013Z
27,W.11,English cotton mill / textile factory,Library of Congress,ACCESS_BLOCKED,"Ambiguous LOC match: 8 items tie on title overlap for 'English cotton mill / textile factory' (query='English cotton mill / textile factory'). URLs: ['https://www.loc.gov/item/13016884/', 'https://www.loc.gov/item/23006130/', 'https://www.loc.gov/item/06020350/', 'https://www.loc.gov/item/08035181/', 'https://www.loc.gov/item/2024873714/', 'https://www.loc.gov/item/08037830/', 'https://www.loc.gov/item/2024890607/', 'https://www.loc.gov/item/2024890554/']",,,,2026-08-02T20:32:04.337130Z
