course,unit,standard,asset_type,source_page_url,direct_download_url,target_filename,drive_subfolder,title,creator_or_institution,date,license,attribution,repository,link_type,status
World History,Age of Revolution (1750-1850),W.04,Painting/print,https://www.metmuseum.org/search-results?q=Oliver+Cromwell+portrait,,W.04_portrait_of_oliver_cromwell.{original_extension},World History/Age of Revolution (1750-1850)/W.04,Portrait of Oliver Cromwell,after Samuel Cooper / Robert Walker,c. 1650s,Public domain — published c. 1650s (pre-1929),"Portrait of Oliver Cromwell, 17th c. The Metropolitan Museum of Art.",The Metropolitan Museum of Art,search,PENDING
World History,Age of Revolution (1750-1850),W.05,Political cartoon/print,https://www.loc.gov/search/?q=Third+Estate+French+Revolution+caricature,,W.05_a_faut_esperer_q_eu_jeu_la_finira_bentot_the_third_estate.{original_extension},World History/Age of Revolution (1750-1850)/W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",anonymous French,1789,Public domain (published pre-1929),"The Third Estate carrying the clergy and nobility, French caricature, 1789. Library of Congress.",Library of Congress,search,PENDING
World History,Age of Revolution (1750-1850),W.05,Legal document (text),https://avalon.law.yale.edu/18th_century/rightsof.asp,,W.05_declaration_of_the_rights_of_man_and_of_the_citizen_1789.{original_extension},World History/Age of Revolution (1750-1850)/W.05,Declaration of the Rights of Man and of the Citizen (1789),National Constituent Assembly of France,1789,Public domain — official document text (1789),"Declaration of the Rights of Man and of the Citizen, 1789. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Age of Revolution (1750-1850),W.05,Pamphlet (text),https://catalog.hathitrust.org/Search/Home?lookfor=Sieyes+What+is+the+Third+Estate&type=all,,W.05_what_is_the_third_estate.{original_extension},World History/Age of Revolution (1750-1850)/W.05,What Is the Third Estate?,Emmanuel-Joseph Sieyès,1789,Public domain (published pre-1929),"E.-J. Sieyès, What Is the Third Estate? (1789). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Age of Revolution (1750-1850),W.06,Print/engraving,https://www.rijksmuseum.nl/en/search?q=storming+Bastille+1789,,W.06_the_storming_of_the_bastille_14_july_1789.{original_extension},World History/Age of Revolution (1750-1850)/W.06,"The Storming of the Bastille, 14 July 1789",contemporary French,1789,CC0 / open access (museum public-domain designation),"Storming of the Bastille, engraving, 1789. Rijksmuseum (public domain).",Rijksmuseum,search,PENDING
World History,Age of Revolution (1750-1850),W.06,Print/engraving,https://www.rijksmuseum.nl/en/search?q=execution+Louis+XVI+1793,,W.06_the_execution_of_louis_xvi_january_1793.{original_extension},World History/Age of Revolution (1750-1850)/W.06,"The Execution of Louis XVI, January 1793",contemporary European,1793,CC0 / open access (museum public-domain designation),"Execution of Louis XVI, engraving, 1793. Rijksmuseum (public domain).",Rijksmuseum,search,PENDING
World History,Age of Revolution (1750-1850),W.06,Print collection,https://www.loc.gov/search/?q=French+Revolution+1789+Bastille,,W.06_french_revolution_prints_bastille_terror_napoleon.{original_extension},World History/Age of Revolution (1750-1850)/W.06,"French Revolution prints (Bastille, Terror, Napoleon)",various,1789-1804,Public domain (published pre-1929),French Revolution prints. Library of Congress.,Library of Congress,search,PENDING
World History,Age of Revolution (1750-1850),W.07,Painting/engraving,https://www.metmuseum.org/search-results?q=Napoleon+Bonaparte+portrait,,W.07_napoleon_bonaparte_portrait.{original_extension},World History/Age of Revolution (1750-1850)/W.07,Napoleon Bonaparte (portrait),after David / Ingres,c. 1800-1815,Public domain — published early 19th c. (pre-1929),"Portrait of Napoleon Bonaparte, early 19th c. The Metropolitan Museum of Art.",The Metropolitan Museum of Art,search,PENDING
World History,Age of Revolution (1750-1850),W.07,Map,https://www.loc.gov/search/?q=Napoleon+empire+Europe+map+1812,,W.07_map_of_the_napoleonic_empire_russian_campaign_of_1812.{original_extension},World History/Age of Revolution (1750-1850)/W.07,Map of the Napoleonic Empire / Russian Campaign of 1812,19th-c. cartographers,1812-1815,Public domain (published pre-1929),"Map of Napoleon's empire and campaigns. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,Age of Revolution (1750-1850),W.08,Founding document (text),https://www.archives.gov/founding-docs/declaration-transcript,,W.08_declaration_of_independence_1776.{original_extension},World History/Age of Revolution (1750-1850)/W.08,Declaration of Independence (1776),Thomas Jefferson et al. / Second Continental Congress,1776,Public domain (U.S. federal government work),"Declaration of Independence, 1776. U.S. National Archives.",U.S. National Archives (NARA),canonical,PENDING
World History,Age of Revolution (1750-1850),W.08,Legal document (text),https://avalon.law.yale.edu/18th_century/rightsof.asp,,W.08_declaration_of_the_rights_of_man_and_of_the_citizen_1789.{original_extension},World History/Age of Revolution (1750-1850)/W.08,Declaration of the Rights of Man and of the Citizen (1789),National Constituent Assembly of France,1789,Public domain — official document text (1789),"Declaration of the Rights of Man and of the Citizen, 1789. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Age of Revolution (1750-1850),W.09,Founding document (text),https://www.loc.gov/search/?q=Haiti+Declaration+of+Independence+1804,,W.09_haitian_declaration_of_independence_1804.{original_extension},World History/Age of Revolution (1750-1850)/W.09,Haitian Declaration of Independence (1804),Jean-Jacques Dessalines / Louis Boisrond-Tonnerre,1804,Public domain — official document text (1804),"Haitian Declaration of Independence, 1804. Library of Congress.",Library of Congress,search,PENDING
World History,Age of Revolution (1750-1850),W.09,Legal code (text),https://catalog.hathitrust.org/Search/Home?lookfor=Code+Napoleon+civil+code+1804&type=all,,W.09_code_napoleon_french_civil_code_1804.{original_extension},World History/Age of Revolution (1750-1850)/W.09,"Code Napoléon (French Civil Code, 1804)",Napoleonic France,1804,Public domain (published pre-1929),"Code Napoléon (Civil Code), 1804. HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Age of Revolution (1750-1850),W.09,Print/engraving,https://www.rijksmuseum.nl/en/search?q=Congress+of+Vienna+1815,,W.09_congress_of_vienna_1815_print.{original_extension},World History/Age of Revolution (1750-1850)/W.09,Congress of Vienna (1815) — print,contemporary European,1815,CC0 / open access (museum public-domain designation),"The Congress of Vienna, 1815. Rijksmuseum (public domain).",Rijksmuseum,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.10,Engraving,https://digitalcollections.nypl.org/search/index?keywords=Gustave+Dore+London,,W.10_over_londonby_rail.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.10,Over London—by Rail,Gustave Doré,1872,Public domain (published pre-1929),"Gustave Doré, ""Over London—by Rail,"" from London: A Pilgrimage, 1872. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.10,Print/photograph,https://www.loc.gov/search/?q=Manchester+industrial+city+19th+century,,W.10_view_of_an_industrial_city_manchester_leeds.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.10,View of an industrial city (Manchester / Leeds),19th-c. artists,19th c.,Public domain (published pre-1929),View of a 19th-century English industrial city. Library of Congress.,Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.11,Technical illustration / artifact,https://www.si.edu/search?edan_q=Watt+steam+engine,,W.11_watt_steam_engine_patent_model_engraving.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.11,Watt steam engine (patent model / engraving),James Watt,late 18th c.,Public domain — published pre-1929,Watt steam engine. Smithsonian Institution.,Smithsonian Institution,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.11,Engraving,https://www.loc.gov/search/?q=cotton+mill+textile+factory+England,,W.11_english_cotton_mill_textile_factory.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.11,English cotton mill / textile factory,19th-c. artists,early 19th c.,Public domain (published pre-1929),Interior of an English cotton textile mill. Library of Congress.,Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.12,Map,https://www.loc.gov/search/?q=railway+map+Europe+19th+century,,W.12_railway_map_of_europe_19th_century.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.12,Railway map of Europe (19th century),19th-c. cartographers,19th c.,Public domain (published pre-1929),"Railway map of Europe, 19th century. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.12,Print,https://digitalcollections.nypl.org/search/index?keywords=Crystal+Palace+Great+Exhibition+1851,,W.12_great_exhibition_crystal_palace_1851.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.12,Great Exhibition / Crystal Palace (1851),contemporary British,1851,Public domain (published pre-1929),"The Crystal Palace, Great Exhibition of 1851. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.13,Diagram/broadside,https://www.loc.gov/search/?q=Brookes+slave+ship+stowage+diagram,,W.13_stowage_of_the_british_slave_ship_brookes.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.13,Stowage of the British slave ship Brookes,"Plymouth Chapter, Society for Effecting the Abolition of the Slave Trade",1788-1789,Public domain (published pre-1929),"Plan and sections of the slave ship Brookes, 1788. Library of Congress.",Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.13,Autobiography (text),https://docsouth.unc.edu/neh/equiano1/equiano1.html,,W.13_the_interesting_narrative_of_the_life_of_olaudah_equiano.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.13,The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,1789,Public domain (published pre-1929),"Olaudah Equiano, The Interesting Narrative (1789). Documenting the American South, UNC Libraries.","Documenting the American South, UNC-Chapel Hill",canonical,PENDING
World History,The Industrial Revolution (1750s-1900s),W.14,Engraving / artifact,https://www.si.edu/search?edan_q=steam+locomotive+19th+century,,W.14_steam_locomotive_early_railway_engine.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.14,Steam locomotive (early railway engine),19th-c. engineers,19th c.,Public domain — published pre-1929 (19th c.),Early steam locomotive. Smithsonian Institution.,Smithsonian Institution,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.14,Illustration,https://www.loc.gov/search/?q=Bessemer+steel+converter+telegraph,,W.14_bessemer_steel_converter_electric_telegraph.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.14,Bessemer steel converter / electric telegraph,19th-c. sources,19th c.,Public domain (published pre-1929),"Bessemer steel process and telegraph illustrations, 19th c. Library of Congress.",Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.15,Photograph,https://www.loc.gov/search/?q=Lewis+Hine+child+labor+mill,,W.15_child_labor_photographs_national_child_labor_committee.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.15,Child labor photographs (National Child Labor Committee),Lewis W. Hine,1908-1917,Public domain (published pre-1929),"Lewis Hine, National Child Labor Committee photographs, c.1908-1917. Library of Congress.",Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.15,Engraving / report,https://www.loc.gov/search/?q=coal+mine+working+conditions+19th+century,,W.15_coal_mine_factory_working_conditions.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.15,Coal mine / factory working conditions,19th-c. sources,19th c.,Public domain (published pre-1929),Depiction of 19th-century mine and factory conditions. Library of Congress.,Library of Congress,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.16,Pamphlet (text),https://catalog.hathitrust.org/Search/Home?lookfor=Communist+Manifesto+Marx+Engels&type=all,,W.16_the_communist_manifesto.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.16,The Communist Manifesto,Karl Marx & Friedrich Engels,1848,Public domain (published pre-1929),"Marx & Engels, Manifesto of the Communist Party (1848). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,The Industrial Revolution (1750s-1900s),W.16,Book (text),https://catalog.hathitrust.org/Search/Home?lookfor=Adam+Smith+Wealth+of+Nations&type=all,,W.16_an_inquiry_into_the_nature_and_causes_of_the_wealth_of_nations.{original_extension},World History/The Industrial Revolution (1750s-1900s)/W.16,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,1776,Public domain (published pre-1929),"Adam Smith, The Wealth of Nations (1776). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.17,Photograph,https://www.loc.gov/search/?q=Otto+von+Bismarck+portrait,,W.17_otto_von_bismarck_photograph_portrait.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.17,Otto von Bismarck (photograph/portrait),various,c. 1870-1890,Public domain (published pre-1929),"Otto von Bismarck. Library of Congress, Prints & Photographs.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.17,Print/photograph,https://www.loc.gov/search/?q=Giuseppe+Garibaldi+Italian+unification,,W.17_giuseppe_garibaldi_italian_unification.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.17,Giuseppe Garibaldi / Italian unification,various,c. 1860,Public domain (published pre-1929),"Giuseppe Garibaldi, c.1860. Library of Congress.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.18,Newspaper / open letter,https://catalog.hathitrust.org/Search/Home?lookfor=Zola+J%27Accuse+Aurore+1898&type=all,,W.18_j_accuse_open_letter_l_aurore_front_page.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.18,"""J'Accuse…!"" (open letter, L'Aurore front page)",Émile Zola,1898,Public domain (published pre-1929),"Émile Zola, ""J'Accuse…!"" L'Aurore, 13 January 1898. HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.18,Print / photograph,https://www.loc.gov/search/?q=Dreyfus+affair+degradation,,W.18_dreyfus_affair_degradation_of_alfred_dreyfus.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.18,Dreyfus Affair — degradation of Alfred Dreyfus,contemporary French press,1895,Public domain (published pre-1929),"The degradation of Captain Alfred Dreyfus, 1895. Library of Congress.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.19,Political cartoon,https://www.loc.gov/search/?q=Rhodes+Colossus+cartoon,,W.19_the_rhodes_colossus.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.19,The Rhodes Colossus,Edward Linley Sambourne (Punch),1892,Public domain (published pre-1929),"""The Rhodes Colossus,"" Punch, 1892. Library of Congress.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.19,Poem (text),https://catalog.hathitrust.org/Search/Home?lookfor=Kipling+White+Man%27s+Burden+1899&type=all,,W.19_the_white_man_s_burden.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.19,The White Man's Burden,Rudyard Kipling,1899,Public domain (published pre-1929),"Rudyard Kipling, ""The White Man's Burden"" (1899). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.20,Map,https://www.loc.gov/search/?q=Africa+map+1890+resources,,W.20_map_of_africa_late_19th_century.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.20,Map of Africa (late 19th century),19th-c. cartographers,c. 1880-1900,Public domain (published pre-1929),"Map of Africa, late 19th century. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.20,Print,https://digitalcollections.nypl.org/search/index?keywords=Africa+trade+ivory+rubber+19th+century,,W.20_african_trade_and_resources_illustrated.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.20,African trade and resources (illustrated),19th-c. sources,19th c.,Public domain (published pre-1929),"Illustrations of African trade and resources, 19th c. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.21,Map,https://www.loc.gov/search/?q=colonial+Africa+partition+map+1900,,W.21_map_of_the_partition_of_africa_colonial_claims.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.21,Map of the partition of Africa (colonial claims),late 19th-c. cartographers,c. 1885-1914,Public domain (published pre-1929),Map showing European colonial partition of Africa. Library of Congress.,Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.21,Engraving,https://digitalcollections.nypl.org/search/index?keywords=Berlin+Conference+1884+Africa,,W.21_the_berlin_conference_of_1884_85.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.21,The Berlin Conference of 1884-85,contemporary press,1884,Public domain (published pre-1929),"The Berlin Conference, 1884. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.22,Print/engraving,https://www.loc.gov/search/?q=Battle+of+Adwa+Adowa+1896+Ethiopia+Italy,,W.22_the_battle_of_adwa_1896_contemporary_illustrated_press_engraving.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.22,"The Battle of Adwa, 1896 (contemporary illustrated press engraving)",contemporary European illustrated press,1896,Public domain — published pre-1929,"The Battle of Adwa (Ethiopian victory over Italy), illustrated press engraving, 1896. Library of Congress.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.22,Print/engraving,https://digitalcollections.nypl.org/search/index?keywords=Anglo-Zulu+War+1879+Isandlwana,,W.22_anglo_zulu_war_isandlwana_rorke_s_drift_1879.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.22,"Anglo-Zulu War (Isandlwana / Rorke's Drift), 1879",contemporary British press,1879,Public domain (published pre-1929),"The Anglo-Zulu War, 1879. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.23,Print/photograph,https://digitalcollections.nypl.org/search/index?keywords=Suez+Canal+opening+1869,,W.23_opening_of_the_suez_canal_1869.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.23,"Opening of the Suez Canal, 1869",contemporary sources,1869,Public domain (published pre-1929),"The opening of the Suez Canal, 1869. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.23,Engraving,https://www.loc.gov/search/?q=Indian+Rebellion+1857+Sepoy+Mutiny,,W.23_the_indian_rebellion_sepoy_mutiny_of_1857.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.23,The Indian Rebellion (Sepoy Mutiny) of 1857,contemporary British press,1857-1858,Public domain (published pre-1929),Scenes of the Indian Rebellion of 1857. Library of Congress.,Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.24,Engraving,https://digitalcollections.nypl.org/search/index?keywords=Opium+War+China+1842,,W.24_destruction_of_opium_first_opium_war.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.24,Destruction of opium / First Opium War,19th-c. sources,1839-1842,Public domain (published pre-1929),"The First Opium War, c.1842. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.24,Photograph,https://www.loc.gov/search/?q=Boxer+Rebellion+1900+China,,W.24_boxer_rebellion_1900.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.24,"Boxer Rebellion, 1900",contemporary photographers,1900-1901,Public domain (published pre-1929),"Boxer Rebellion, 1900. Library of Congress.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.25,Print/photograph,https://digitalcollections.nypl.org/search/index?keywords=colonial+exposition+1889,,W.25_colonial_exposition_human_zoo_imagery.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.25,"Colonial exposition / ""human zoo"" imagery",late 19th-c. sources,c. 1889-1900,Public domain (published pre-1929),"Colonial exposition imagery, late 19th c. NYPL Digital Collections.",The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.25,Photograph,https://www.loc.gov/search/?q=colonial+railway+India+Africa,,W.25_railways_and_infrastructure_in_colonial_india_africa.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.25,Railways and infrastructure in colonial India/Africa,late 19th-c. photographers,c. 1870-1910,Public domain (published pre-1929),Colonial-era railway infrastructure. Library of Congress.,Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.26,Woodblock print (ukiyo-e),https://www.metmuseum.org/search-results?q=Black+Ships+Perry+Japan+woodblock,,W.26_perry_s_black_ships_in_japan.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.26,"Perry's ""Black Ships"" in Japan",Japanese artists,c. 1853-1854,Public domain — published c. 1854 (pre-1929),"Japanese woodblock print of Perry's Black Ships, c.1854. The Metropolitan Museum of Art (Open Access).",The Metropolitan Museum of Art,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.26,Woodblock print (ukiyo-e),https://www.metmuseum.org/search-results?q=Sino-Japanese+War+woodblock+Meiji,,W.26_first_sino_japanese_war_meiji_modernization_prints.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.26,First Sino-Japanese War / Meiji modernization prints,Japanese artists,1894-1895,Public domain — published 1894-1895 (pre-1929),Meiji-era woodblock prints of the Sino-Japanese War. The Metropolitan Museum of Art (Open Access).,The Metropolitan Museum of Art,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.27,Map,https://www.loc.gov/search/?q=South+America+map+19th+century,,W.27_map_of_south_america_19th_century.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.27,Map of South America (19th century),19th-c. cartographers,19th c.,Public domain (published pre-1929),"Map of South America, 19th century. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.27,Print/photograph,https://digitalcollections.nypl.org/search/index?keywords=Peru+guano+silver+mining+South+America,,W.27_guano_silver_rubber_extraction_in_latin_america.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.27,Guano / silver / rubber extraction in Latin America,19th-c. sources,19th c.,Public domain (published pre-1929),Resource extraction in 19th-century Latin America. NYPL Digital Collections.,The New York Public Library Digital Collections,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.28,Photograph,https://www.loc.gov/search/?q=Panama+Canal+construction+1913,,W.28_construction_of_the_panama_canal.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.28,Construction of the Panama Canal,U.S. Isthmian Canal Commission,1904-1914,Public domain (published pre-1929),"Construction of the Panama Canal, c.1904-1914. Library of Congress.",Library of Congress,search,PENDING
World History,Nationalism and Imperialism (1850-1914),W.28,Political cartoon,https://www.loc.gov/search/?q=Big+Stick+Roosevelt+Latin+America+cartoon,,W.28_u_s_big_stick_intervention_in_latin_america.{original_extension},World History/Nationalism and Imperialism (1850-1914)/W.28,"U.S. ""Big Stick"" intervention in Latin America",early 20th-c. cartoonists,c. 1900-1910,Public domain (published pre-1929),"""Big Stick"" diplomacy cartoon, early 20th c. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.29,Map,https://www.loc.gov/search/?q=Balkans+map+1912+Europe,,W.29_map_of_the_balkans_powder_keg_of_europe_c_1912.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.29,"Map of the Balkans, ""powder keg of Europe"" (c.1912)",early 20th-c. cartographers,c. 1912-1914,Public domain (published pre-1929),"Map of the Balkans, c.1912. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.29,Political cartoon,https://www.loc.gov/search/?q=European+alliances+cartoon+1914,,W.29_european_alliances_armed_camp_political_cartoon.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.29,European alliances / armed-camp political cartoon,early 20th-c. cartoonists,c. 1900-1914,Public domain (published pre-1929),"European alliance system cartoon, early 20th c. Library of Congress.",Library of Congress,search,PENDING
