Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
Grade 6,6.14,"Explain how agricultural practices impacted life and economic growth in ancient Egypt, including the use of irrigation and development of a calendar.",Ancient Egypt: c. 3000-700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.15,"Explain the structure of ancient Egyptian society, including: Relationships between groups of people; How social classes were organized by occupation; Positions of pharaohs as god/kings; Role of slaves",Ancient Egypt: c. 3000-700 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.16,"Explain the polytheistic religion of ancient Egypt, with respect to beliefs about the afterlife, the reasons for mummification, and the use of pyramids.",Ancient Egypt: c. 3000-700 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.17,"Analyze the impact of key figures from ancient Egypt, including: Growth under the leadership of Queen Hatshepsut and her economic policies; Ramses the Great's military conquests leading to growth of the kingdom; Significance of the discovery of Tutankhamun's tomb on the understanding of ancient Egypt",Ancient Egypt: c. 3000-700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.18,"Analyze the achievements of ancient Egyptian civilization, including: hieroglyphics, papyrus, and the pyramids and Sphinx at Giza.",Ancient Egypt: c. 3000-700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.19,"Examine the cultural diffusion of ancient Egypt with surrounding civilizations through trade and conflict, including its relationship with Nubia.",Ancient Egypt: c. 3000-700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.20,"Identify and locate geographical features of ancient Israel, including: Dead Sea; Mediterranean Sea; Jerusalem; Red Sea; Jordan River; Sinai Peninsula",Ancient Israel: c. 2000-500 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.21,"Describe the development of the ancient Israelites, and explain the reasons for their movements from Mesopotamia to Canaan (later called Israel), from Canaan to Egypt, and from Egypt back to Canaan.",Ancient Israel: c. 2000-500 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.22,"Describe the origins and central features of Judaism: Key Person(s): Abraham, Moses; Sacred Texts: The Tanakh (i.e., Hebrew Bible); Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility",Ancient Israel: c. 2000-500 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.23,"Identify the importance of Saul as the first king of Israel, David as the second king who founded Jerusalem as the capital, and Solomon as the third king who built the first temple.",Ancient Israel: c. 2000-500 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.24,"Summarize the breakup of the Kingdom of Israel, Babylonian captivity, and the return of the Jews to their homeland under the Persian Empire.",Ancient Israel: c. 2000-500 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.25,"Identify and locate geographical features of ancient India, including: Ganges River; Indus River; Himalayan Mountains; Monsoon winds; Indian Ocean; Subcontinent of India",Ancient India: c. 2500-400 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.26,"Explain the emergence of the Harappan civilization in the Indus River Valley as an early agricultural civilization, and describe its achievements, including: Architecture built with bricks; Arranging roads into a series of grid-systems; Sanitation and sewer systems",Ancient India: c. 2500-400 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.27,"Describe the social structure of the caste system, and explain its effect on everyday life in ancient India.",Ancient India: c. 2500-400 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.28,"Describe the origins and central features of Hinduism: Key Person(s): origins in Aryan traditions; Sacred Texts: The Vedas; Basic Beliefs: dharma, karma, reincarnation, and moksha",Ancient India: c. 2500-400 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.29,"Describe the origins and central features of Buddhism: Key Person(s): Siddhartha Gautama (Buddha); Sacred Texts: Tripitaka; Basic Beliefs: Four Noble Truths, Eightfold Path, Nirvana",Ancient India: c. 2500-400 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.30,"Identify the long-lasting intellectual traditions that emerged during the late empire of ancient India, including: medical education, medical techniques, and mathematics (e.g., Hindu-Arabic numerals).",Ancient India: c. 2500-400 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.31,"Identify and locate geographical features of ancient China, including: Gobi Desert; Plateau of Tibet; Himalayan Mountains; Yangtze River; Pacific Ocean; Yellow River",Ancient China: c. 2500 BCE-200 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.32,"Analyze the influence of geographic features on the origins of ancient Chinese civilization in the Yellow River Valley, and explain how China's geography helped create a unique yet diverse cultural identity that was isolated from the rest of the world.",Ancient China: c. 2500 BCE-200 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.33,Describe how the size of ancient China made governing difficult and how the concepts of the mandate of heaven and Legalism emerged as solutions to this problem.,Ancient China: c. 2500 BCE-200 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.34,"Identify the political and cultural problems prevalent in the time of Confucius and how the philosophy of Confucianism and The Analects emphasized the concepts of kinship, order, and hierarchy to address these problems.",Ancient China: c. 2500 BCE-200 CE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.35,"Explain the significance of the unification of ancient China into the first Chinese empire by Qin Shi Huangdi, beginning the Qin Dynasty.",Ancient China: c. 2500 BCE-200 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.36,Explain how the implementation of the philosophy of Confucianism led to the political success and longevity of the Han Dynasty.,Ancient China: c. 2500 BCE-200 CE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.37,"Explain the major accomplishments of the Han Dynasty, including: the magnetic compass, paper making, porcelain, silk, and woodblock printing.",Ancient China: c. 2500 BCE-200 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.38,"Describe how the desire for Chinese goods influenced the creation of The Silk Road and initiated cultural diffusion throughout Eurasia, including the introduction of Buddhism into ancient China.",Ancient China: c. 2500 BCE-200 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.39,"Identify and locate geographical features of ancient Greece, including: Asia Minor; Mediterranean Sea; Athens; Peloponnesian peninsula; Macedonia; Sparta",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.40,"Analyze how the geographical features of ancient Greece, including its mountainous terrain and access to the Mediterranean Sea, contributed to its organization into city-states, role in maritime trade, and colonies in the Mediterranean.",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.41,"Examine the concept of the polis in Greek city-states, including the ideas of: citizenship, civic participation, and the rule of law.",Ancient Greece: c. 800-300 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.42,Explain the basic concepts of direct democracy and oligarchy.,Ancient Greece: c. 800-300 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.43,"Explain the characteristics of the major Greek city-states of Athens and Sparta, including: Advantages of each geographic location; Status of women; Approaches to education; Styles of government; Practice of slavery",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.44,"Analyze the causes and consequences of the Persian Wars, including the role of Athens and its cooperation with Sparta to defend the Greek city-states.",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.45,"Analyze the causes and consequences of the Peloponnesian Wars, including how the growing political conflict between Athens and Sparta led to war and left the city-states open to conquest by the Macedonians.",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.46,"Explain the polytheistic religion of ancient Greece, with respect to beliefs about the humanlike qualities of the deities, their importance in everyday life, and the emergence of the Olympic Games to honor Zeus.",Ancient Greece: c. 800-300 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.47,"Explain the historical significance of ancient Greek literature, including how the Iliad and the Odyssey provide insight into the life of the ancient Greeks.",Ancient Greece: c. 800-300 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.48,"Examine the influence of ancient Greek philosophers (e.g., Aristotle, Plato, and Socrates) and their impact on education and society in Greece.",Ancient Greece: c. 800-300 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.49,"Describe the purposes of major Greek architecture, including the Parthenon and the Acropolis.",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.50,"Explain the unification of the Greek city-states by Macedonia, and analyze the impact of Alexander the Great and the diffusion of Hellenistic culture.",Ancient Greece: c. 800-300 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.51,"Identify and locate the geographical features of ancient Rome, including: Constantinople; Mediterranean Sea; Italian Alps; Rome; Italian Peninsula; Tiber River",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.52,Analyze how the geographical location of ancient Rome contributed to its political and economic growth in the Mediterranean region and beyond.,Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.53,"Describe the government of the Roman Republic, including: Branches of government; Checks and balances; Civic participation; Representative democracy; The rule of law and the Twelve Tables",Ancient Rome: c. 500 BCE-500 CE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.54,"Describe the class system of ancient Rome, including the role of patricians, plebeians, and slaves in Roman society.",Ancient Rome: c. 500 BCE-500 CE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.55,"Describe the characteristics of Julius Caesar's rule, including: Leadership in the military; Popularity amongst plebeians; Role as dictator for life; Assassination",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.56,"Analyze the influence of Augustus Caesar, including the establishment of the Roman Empire and its political, geographic, and economic expansion during the Pax Romana.",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.57,"Analyze how innovations in engineering and architecture contributed to Roman expansion, including the role of: Aqueducts; Arches; Bridges; The Colosseum; Domes; Roads; Sanitation",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.58,"Explain the polytheistic religion of ancient Rome, with respect to beliefs about the humanlike qualities of the deities and their importance in everyday life.",Ancient Rome: c. 500 BCE-500 CE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul; Sacred Texts: The Bible; Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.60,"Explain the expulsion of the Jews from their homeland by the Romans, which began the Jewish diaspora.",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.61,"Explain the division of the Roman Empire into East and West, and identify the later establishment of Constantinople as the capital by Constantine.",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.62,"Analyze the fall of the Western Roman Empire, including difficulty governing its large territory, political corruption, economic instability, and attacks by Germanic tribes, and identify the continuation of the Eastern Roman Empire as the Byzantine Empire.",Ancient Rome: c. 500 BCE-500 CE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
