Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Age of Revolution (1750-1850),W.04,Examine the causes and consequences of the English Civil War.,Yes,Portrait of Oliver Cromwell,Painting/print,after Samuel Cooper / Robert Walker,c. 1650s,The Metropolitan Museum of Art,Public domain — verify individual item at repository,Yes,https://www.metmuseum.org/search-results?q=Oliver+Cromwell+portrait,search,"Portrait of Oliver Cromwell, 17th c. The Metropolitan Museum of Art.",Portrait of Oliver Cromwell in armor.,NO,SSP.01; SSP.02,,OK
Age of Revolution (1750-1850),W.05,"Identify the major causes of the French Revolution, including the impact of: The American Revolution; Conflicting social classes; Economic factors; Enlightenment political thought; Government corruption and weakness",Yes,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Political cartoon/print,anonymous French,1789,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Third+Estate+French+Revolution+caricature,search,"The Third Estate carrying the clergy and nobility, French caricature, 1789. Library of Congress.",Caricature of a peasant bearing a clergyman and noble on his back.,NO,SSP.01; SSP.02,,OK
Age of Revolution (1750-1850),W.05,"Identify the major causes of the French Revolution, including the impact of: The American Revolution; Conflicting social classes; Economic factors; Enlightenment political thought; Government corruption and weakness",Yes,Declaration of the Rights of Man and of the Citizen (1789),Legal document (text),National Constituent Assembly of France,1789,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/18th_century/rightsof.asp,canonical,"Declaration of the Rights of Man and of the Citizen, 1789. The Avalon Project, Yale Law School.",Text of the 1789 French Declaration of the Rights of Man.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.05,"Identify the major causes of the French Revolution, including the impact of: The American Revolution; Conflicting social classes; Economic factors; Enlightenment political thought; Government corruption and weakness",Yes,What Is the Third Estate?,Pamphlet (text),Emmanuel-Joseph Sieyès,1789,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Sieyes+What+is+the+Third+Estate&type=all,search,"E.-J. Sieyès, What Is the Third Estate? (1789). HathiTrust.",Title page of Sieyès's revolutionary pamphlet.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.06,"Summarize the major events of the French Revolution (e.g., storming of the Bastille, execution of Louis XVI, reign of terror), and trace the evolution of France's government from constitutional monarchy to democratic despotism to the Napoleonic Empire.",Yes,"The Storming of the Bastille, 14 July 1789",Print/engraving,contemporary French,1789,Rijksmuseum,CC0 / open access (museum public-domain designation),Yes,https://www.rijksmuseum.nl/en/search?q=storming+Bastille+1789,search,"Storming of the Bastille, engraving, 1789. Rijksmuseum (public domain).",Engraving of crowds attacking the Bastille fortress.,NO,SSP.01; SSP.02; SSP.05,,OK
Age of Revolution (1750-1850),W.06,"Summarize the major events of the French Revolution (e.g., storming of the Bastille, execution of Louis XVI, reign of terror), and trace the evolution of France's government from constitutional monarchy to democratic despotism to the Napoleonic Empire.",Yes,"The Execution of Louis XVI, January 1793",Print/engraving,contemporary European,1793,Rijksmuseum,CC0 / open access (museum public-domain designation),Yes,https://www.rijksmuseum.nl/en/search?q=execution+Louis+XVI+1793,search,"Execution of Louis XVI, engraving, 1793. Rijksmuseum (public domain).",Engraving of Louis XVI's execution by guillotine before a crowd.,NO,SSP.01; SSP.02; SSP.05,,OK
Age of Revolution (1750-1850),W.06,"Summarize the major events of the French Revolution (e.g., storming of the Bastille, execution of Louis XVI, reign of terror), and trace the evolution of France's government from constitutional monarchy to democratic despotism to the Napoleonic Empire.",Yes,"French Revolution prints (Bastille, Terror, Napoleon)",Print collection,various,1789-1804,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=French+Revolution+1789+Bastille,search,French Revolution prints. Library of Congress.,Collection of engravings of French Revolution events.,NO,SSP.01; SSP.02; SSP.05,,OK
Age of Revolution (1750-1850),W.07,"Analyze the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte's empire.",Yes,Napoleon Bonaparte (portrait),Painting/engraving,after David / Ingres,c. 1800-1815,The Metropolitan Museum of Art,Public domain — verify individual item at repository,Yes,https://www.metmuseum.org/search-results?q=Napoleon+Bonaparte+portrait,search,"Portrait of Napoleon Bonaparte, early 19th c. The Metropolitan Museum of Art.",Portrait of Napoleon in military/imperial dress.,NO,SSP.01; SSP.02,,OK
Age of Revolution (1750-1850),W.07,"Analyze the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte's empire.",Yes,Map of the Napoleonic Empire / Russian Campaign of 1812,Map,19th-c. cartographers,1812-1815,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Napoleon+empire+Europe+map+1812,search,"Map of Napoleon's empire and campaigns. Library of Congress, Geography & Map Division.",Historical map of Europe under Napoleon showing campaign routes.,NO,SSP.01; SSP.02; SSP.06,"Strong geo tie-in (rise/fall, Russian campaign); pair portrait with campaign map.",OK
Age of Revolution (1750-1850),W.08,"Identify how the ideas of the Enlightenment inspired Thomas Jefferson and the Declaration of Independence, and compare the American Revolution with the French Revolution.",Yes,Declaration of Independence (1776),Founding document (text),Thomas Jefferson et al. / Second Continental Congress,1776,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://www.archives.gov/founding-docs/declaration-transcript,canonical,"Declaration of Independence, 1776. U.S. National Archives.",Transcript of the 1776 Declaration of Independence.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.08,"Identify how the ideas of the Enlightenment inspired Thomas Jefferson and the Declaration of Independence, and compare the American Revolution with the French Revolution.",Yes,Declaration of the Rights of Man and of the Citizen (1789),Legal document (text),National Constituent Assembly of France,1789,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/18th_century/rightsof.asp,canonical,"Declaration of the Rights of Man and of the Citizen, 1789. The Avalon Project, Yale Law School.",Text of the 1789 French Declaration for side-by-side comparison with the U.S. Declaration.,NO,SSP.01; SSP.02; SSP.03,Directly supports the Declaration-to-Rights-of-Man comparison in the standard.,OK
Age of Revolution (1750-1850),W.09,"Explain the effects of the French Revolution on Europe and the world, including the influence of: the Napoleonic Code, Concert of Europe, and Haitian Revolution.",Yes,Haitian Declaration of Independence (1804),Founding document (text),Jean-Jacques Dessalines / Louis Boisrond-Tonnerre,1804,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Haiti+Declaration+of+Independence+1804,search,"Haitian Declaration of Independence, 1804. Library of Congress.",Text/facsimile of the 1804 Haitian Declaration of Independence.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.09,"Explain the effects of the French Revolution on Europe and the world, including the influence of: the Napoleonic Code, Concert of Europe, and Haitian Revolution.",Yes,"Code Napoléon (French Civil Code, 1804)",Legal code (text),Napoleonic France,1804,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Code+Napoleon+civil+code+1804&type=all,search,"Code Napoléon (Civil Code), 1804. HathiTrust.",Title page of the Napoleonic Civil Code.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.09,"Explain the effects of the French Revolution on Europe and the world, including the influence of: the Napoleonic Code, Concert of Europe, and Haitian Revolution.",Yes,Congress of Vienna (1815) — print,Print/engraving,contemporary European,1815,Rijksmuseum,CC0 / open access (museum public-domain designation),Yes,https://www.rijksmuseum.nl/en/search?q=Congress+of+Vienna+1815,search,"The Congress of Vienna, 1815. Rijksmuseum (public domain).",Group engraving of diplomats at the Congress of Vienna.,NO,SSP.01; SSP.02; SSP.05,Illustrates the Concert of Europe.,OK
The Industrial Revolution (1750s-1900s),W.10,"Explain how the Agricultural Revolution, mechanization, and the ""enclosure movement"" led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.",Yes,Over London—by Rail,Engraving,Gustave Doré,1872,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Gustave+Dore+London,search,"Gustave Doré, ""Over London—by Rail,"" from London: A Pilgrimage, 1872. NYPL Digital Collections.",Engraving of dense industrial back-to-back housing beside railway lines.,NO,SSP.01; SSP.02; SSP.06,,OK
The Industrial Revolution (1750s-1900s),W.10,"Explain how the Agricultural Revolution, mechanization, and the ""enclosure movement"" led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.",Yes,View of an industrial city (Manchester / Leeds),Print/photograph,19th-c. artists,19th c.,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Manchester+industrial+city+19th+century,search,View of a 19th-century English industrial city. Library of Congress.,Print of a smoke-filled 19th-century industrial city skyline.,NO,SSP.01; SSP.02; SSP.06,,OK
The Industrial Revolution (1750s-1900s),W.11,"Explain the geographic and economic reasons why the Industrial Revolution began in England, including: natural resources, entrepreneurship, labor, and access to capital.",Yes,Watt steam engine (patent model / engraving),Technical illustration / artifact,James Watt,late 18th c.,Smithsonian Institution,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=Watt+steam+engine,search,Watt steam engine. Smithsonian Institution.,Diagram/model of a James Watt steam engine.,NO,SSP.01; SSP.02,,OK
The Industrial Revolution (1750s-1900s),W.11,"Explain the geographic and economic reasons why the Industrial Revolution began in England, including: natural resources, entrepreneurship, labor, and access to capital.",Yes,English cotton mill / textile factory,Engraving,19th-c. artists,early 19th c.,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=cotton+mill+textile+factory+England,search,Interior of an English cotton textile mill. Library of Congress.,Engraving of powered spinning machinery inside a cotton mill.,NO,SSP.01; SSP.02; SSP.06,,OK
The Industrial Revolution (1750s-1900s),W.12,Analyze how geographic and cultural features were an advantage or disadvantage to the diffusion of the Industrial Revolution.,Yes,Railway map of Europe (19th century),Map,19th-c. cartographers,19th c.,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=railway+map+Europe+19th+century,search,"Railway map of Europe, 19th century. Library of Congress, Geography & Map Division.",Historical map showing the spread of rail networks across Europe.,NO,SSP.01; SSP.02; SSP.06,,OK
The Industrial Revolution (1750s-1900s),W.12,Analyze how geographic and cultural features were an advantage or disadvantage to the diffusion of the Industrial Revolution.,Yes,Great Exhibition / Crystal Palace (1851),Print,contemporary British,1851,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Crystal+Palace+Great+Exhibition+1851,search,"The Crystal Palace, Great Exhibition of 1851. NYPL Digital Collections.",Engraving of the iron-and-glass Crystal Palace exhibition hall.,NO,SSP.01; SSP.02; SSP.06,,OK
The Industrial Revolution (1750s-1900s),W.13,"Describe the geographic scale, trade routes, and conditions of the forced migration of Africans to the Western Hemisphere, including connections between slave labor and the growth of industrial economies.",Yes,Stowage of the British slave ship Brookes,Diagram/broadside,"Plymouth Chapter, Society for Effecting the Abolition of the Slave Trade",1788-1789,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Brookes+slave+ship+stowage+diagram,search,"Plan and sections of the slave ship Brookes, 1788. Library of Congress.",Diagram showing enslaved Africans packed into a slave ship's holds.,NO,SSP.01; SSP.02; SSP.06,,OK
The Industrial Revolution (1750s-1900s),W.13,"Describe the geographic scale, trade routes, and conditions of the forced migration of Africans to the Western Hemisphere, including connections between slave labor and the growth of industrial economies.",Yes,The Interesting Narrative of the Life of Olaudah Equiano,Autobiography (text),Olaudah Equiano,1789,"Documenting the American South, UNC-Chapel Hill",Public domain (published pre-1929),Yes,https://docsouth.unc.edu/neh/equiano1/equiano1.html,canonical,"Olaudah Equiano, The Interesting Narrative (1789). Documenting the American South, UNC Libraries.",Frontispiece and narrative of Olaudah Equiano's autobiography.,NO,SSP.01; SSP.02; SSP.04,docsouth.unc.edu is a UNC (.edu) digital collection.,OK
The Industrial Revolution (1750s-1900s),W.14,"Explain how scientific and technological innovations (e.g., the steam engine, new textile technology, steel processing, medical advances, electricity, and new methods of transportation) led to massive social, economic, cultural, and demographic changes.",Yes,Steam locomotive (early railway engine),Engraving / artifact,19th-c. engineers,19th c.,Smithsonian Institution,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=steam+locomotive+19th+century,search,Early steam locomotive. Smithsonian Institution.,Illustration/photograph of an early steam railway locomotive.,NO,SSP.01; SSP.02,,OK
The Industrial Revolution (1750s-1900s),W.14,"Explain how scientific and technological innovations (e.g., the steam engine, new textile technology, steel processing, medical advances, electricity, and new methods of transportation) led to massive social, economic, cultural, and demographic changes.",Yes,Bessemer steel converter / electric telegraph,Illustration,19th-c. sources,19th c.,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Bessemer+steel+converter+telegraph,search,"Bessemer steel process and telegraph illustrations, 19th c. Library of Congress.",Engraving of a Bessemer converter and telegraph apparatus.,NO,SSP.01; SSP.02,,OK
The Industrial Revolution (1750s-1900s),W.15,"Evaluate the industrialization of Europe in terms of: Social benefits (e.g., increases in productivity and life expectancy); Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality); Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unionism, education reform, and public health and sanitation)",Yes,Child labor photographs (National Child Labor Committee),Photograph,Lewis W. Hine,1908-1917,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Lewis+Hine+child+labor+mill,search,"Lewis Hine, National Child Labor Committee photographs, c.1908-1917. Library of Congress.",Photograph of children working amid textile-mill machinery.,NO,SSP.01; SSP.02; SSP.05,,OK
The Industrial Revolution (1750s-1900s),W.15,"Evaluate the industrialization of Europe in terms of: Social benefits (e.g., increases in productivity and life expectancy); Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality); Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unionism, education reform, and public health and sanitation)",Yes,Coal mine / factory working conditions,Engraving / report,19th-c. sources,19th c.,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=coal+mine+working+conditions+19th+century,search,Depiction of 19th-century mine and factory conditions. Library of Congress.,"Engraving of laborers, including children, in a coal mine.",NO,SSP.01; SSP.02; SSP.05,,OK
The Industrial Revolution (1750s-1900s),W.16,"Compare and contrast the rise of the following economic theories as a result of industrialization: capitalism, communism, and socialism.",,The Communist Manifesto,Pamphlet (text),Karl Marx & Friedrich Engels,1848,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Communist+Manifesto+Marx+Engels&type=all,search,"Marx & Engels, Manifesto of the Communist Party (1848). HathiTrust.",Title page and text of the Communist Manifesto.,NO,SSP.01; SSP.02; SSP.04,,OK
The Industrial Revolution (1750s-1900s),W.16,"Compare and contrast the rise of the following economic theories as a result of industrialization: capitalism, communism, and socialism.",,An Inquiry into the Nature and Causes of the Wealth of Nations,Book (text),Adam Smith,1776,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Adam+Smith+Wealth+of+Nations&type=all,search,"Adam Smith, The Wealth of Nations (1776). HathiTrust.",Title page of Adam Smith's Wealth of Nations.,NO,SSP.01; SSP.02; SSP.03,Pair capitalist (Smith) and communist (Marx) foundational texts.,OK
Nationalism and Imperialism (1850-1914),W.17,"Define nationalism, and explain how nationalism, cultural geography, and physical geography contributed to the unification of nations, such as Germany and Italy.",Yes,Otto von Bismarck (photograph/portrait),Photograph,various,c. 1870-1890,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Otto+von+Bismarck+portrait,search,"Otto von Bismarck. Library of Congress, Prints & Photographs.",Portrait photograph of Otto von Bismarck in uniform.,NO,SSP.01; SSP.02,,OK
Nationalism and Imperialism (1850-1914),W.17,"Define nationalism, and explain how nationalism, cultural geography, and physical geography contributed to the unification of nations, such as Germany and Italy.",Yes,Giuseppe Garibaldi / Italian unification,Print/photograph,various,c. 1860,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Giuseppe+Garibaldi+Italian+unification,search,"Giuseppe Garibaldi, c.1860. Library of Congress.",Portrait of Garibaldi and Risorgimento imagery.,NO,SSP.01; SSP.02,,OK
Nationalism and Imperialism (1850-1914),W.18,Describe the rise of anti-Semitism in Europe during this time period.,Yes,"""J'Accuse…!"" (open letter, L'Aurore front page)",Newspaper / open letter,Émile Zola,1898,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Zola+J%27Accuse+Aurore+1898&type=all,search,"Émile Zola, ""J'Accuse…!"" L'Aurore, 13 January 1898. HathiTrust.",Front page of L'Aurore with Zola's J'Accuse headline defending Dreyfus.,NO,SSP.01; SSP.02; SSP.04,,OK
Nationalism and Imperialism (1850-1914),W.18,Describe the rise of anti-Semitism in Europe during this time period.,Yes,Dreyfus Affair — degradation of Alfred Dreyfus,Print / photograph,contemporary French press,1895,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Dreyfus+affair+degradation,search,"The degradation of Captain Alfred Dreyfus, 1895. Library of Congress.",Illustration of Dreyfus being stripped of rank before troops.,NO,SSP.01; SSP.02,,OK
Nationalism and Imperialism (1850-1914),W.19,"Define imperialism, and analyze reasons for 19th century imperialism, including: competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.",Yes,The Rhodes Colossus,Political cartoon,Edward Linley Sambourne (Punch),1892,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Rhodes+Colossus+cartoon,search,"""The Rhodes Colossus,"" Punch, 1892. Library of Congress.",Cartoon of Cecil Rhodes straddling Africa from Cape to Cairo.,NO,SSP.01; SSP.02,,OK
Nationalism and Imperialism (1850-1914),W.19,"Define imperialism, and analyze reasons for 19th century imperialism, including: competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.",Yes,The White Man's Burden,Poem (text),Rudyard Kipling,1899,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Kipling+White+Man%27s+Burden+1899&type=all,search,"Rudyard Kipling, ""The White Man's Burden"" (1899). HathiTrust.",Printed text of Kipling's poem justifying imperialism.,NO,SSP.01; SSP.02; SSP.04,,OK
Nationalism and Imperialism (1850-1914),W.20,"Describe the natural resources and geographic features of Africa, their role in attracting European economic interests, and their impact on global trade.",Yes,Map of Africa (late 19th century),Map,19th-c. cartographers,c. 1880-1900,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Africa+map+1890+resources,search,"Map of Africa, late 19th century. Library of Congress, Geography & Map Division.",Detailed 19th-century map of the African continent.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.20,"Describe the natural resources and geographic features of Africa, their role in attracting European economic interests, and their impact on global trade.",Yes,African trade and resources (illustrated),Print,19th-c. sources,19th c.,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Africa+trade+ivory+rubber+19th+century,search,"Illustrations of African trade and resources, 19th c. NYPL Digital Collections.",Prints of African resource extraction and trade.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.21,"Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.",Yes,Map of the partition of Africa (colonial claims),Map,late 19th-c. cartographers,c. 1885-1914,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=colonial+Africa+partition+map+1900,search,Map showing European colonial partition of Africa. Library of Congress.,Colored map of Africa divided among European colonial powers.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.21,"Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.",Yes,The Berlin Conference of 1884-85,Engraving,contemporary press,1884,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Berlin+Conference+1884+Africa,search,"The Berlin Conference, 1884. NYPL Digital Collections.",Engraving of diplomats around a map at the Berlin Conference.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.22,"Describe successful (e.g., Ethiopia) and unsuccessful (e.g., Zulu Wars and Ashanti Wars) examples of African resistance to European imperialism.",Yes,"Battle of Adwa (Adowa), 1896",Painting/print,Ethiopian traditional artists,c. 1896-1920s,Smithsonian National Museum of African Art,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=Battle+of+Adwa+Ethiopia+painting,search,"Depiction of the Battle of Adwa, 1896. Smithsonian National Museum of African Art.",Ethiopian painting of the victory over Italian forces at Adwa.,NO,SSP.01; SSP.02; SSP.05,Confirm PD/open-access status of the specific Ethiopian painting.,OK
Nationalism and Imperialism (1850-1914),W.22,"Describe successful (e.g., Ethiopia) and unsuccessful (e.g., Zulu Wars and Ashanti Wars) examples of African resistance to European imperialism.",Yes,"Anglo-Zulu War (Isandlwana / Rorke's Drift), 1879",Print/engraving,contemporary British press,1879,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Anglo-Zulu+War+1879+Isandlwana,search,"The Anglo-Zulu War, 1879. NYPL Digital Collections.",Engraving of a battle between British and Zulu forces.,NO,SSP.01; SSP.02; SSP.05,,OK
Nationalism and Imperialism (1850-1914),W.23,"Describe the importance of India to the British Empire, the Suez Canal as a connection between Great Britain and India, and India's reaction to British rule.",Yes,"Opening of the Suez Canal, 1869",Print/photograph,contemporary sources,1869,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Suez+Canal+opening+1869,search,"The opening of the Suez Canal, 1869. NYPL Digital Collections.",Ships in procession at the 1869 opening of the Suez Canal.,NO,SSP.01; SSP.02; SSP.06,,OK
