Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
High School,US.29,"Describe the growth and effects that radio and movies played in the emergence of popular culture as epitomized by celebrities such as Charlie Chaplin, Charles Lindbergh, and Babe Ruth.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.30,"Examine the growth and popularity of country and blues music, including the rise of: the Grand Ole Opry, W.C. Handy, and Bessie Smith. (T.C.A. § 49-6-1006)",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.31,"Describe the impact of new technologies of the era, including the advent of air travel and spread of electricity.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.32,"Describe the impact of Henry T. Ford, the automobile, and the mass production of automobiles on the American economy and society.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.33,"Describe the Harlem Renaissance, its impact, and important figures, including (T.C.A. § 49-6-1006):
• Louis Armstrong
• Duke Ellington
• Langston Hughes
• Zora Neale Hurston",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.34,"Describe changes in the social and economic status of women during this era, including: flappers, birth control, clerical and office jobs, and the rise of women’s colleges.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.35,"Examine challenges related to civil liberties and racial/ethnic tensions during this era, including (T.C.A. § 49-6-1006):
• First Red Scare
• Immigration Quota Acts of the 1920s
• Resurgence of the Ku Klux Klan
• Efforts of Ida B. Wells
• Emergence of Garveyism
• Rise of the NAACP",The 1920s (1920-1929),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.36,"Describe the Scopes Trial of 1925, including: the major figures, two sides of the controversy, the outcome, and legacy.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.37,"Describe the impacts of Prohibition on American society, including: the rise of organized crime, bootlegging, and speakeasies.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.38,"Analyze the changes in the economy and culture of the U.S. as a result of credit expansion, consumerism, and financial speculation.",The 1920s (1920-1929),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.39,"Analyze the causes of the Great Depression, including:
• Bank failures
• Buying on margin
• Crash of the stock market
• Excess consumerism
• High tariffs
• Laissez-faire politics
• Overextension of credit
• Overproduction in agriculture and manufacturing
• Rising unemployment",The Great Depression and New Deal (1929-1941),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.40,"Analyze the causes of the Dust Bowl, and explain the social, geographic, and economic impacts.",The Great Depression and New Deal (1929-1941),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.41,"Describe the impact of the Great Depression on the American people, including: mass unemployment, migration, and Hoovervilles.",The Great Depression and New Deal (1929-1941),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.42,"Describe the steps taken by President Herbert Hoover to address the depression, including his: philosophy of “Rugged Individualism,” public works projects, the Reconstruction Finance Corporation, and response to the “Bonus Army.”",The Great Depression and New Deal (1929-1941),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.43,"Analyze the impact of the relief, recovery, and reform efforts of President Franklin D. Roosevelt’s New Deal programs, including:
• Agricultural Adjustment Act
• Civilian Conservation Corps
• Fair Labor Standards Act
• Federal Deposit Insurance Corporation
• National Recovery Administration
• Securities and Exchange Commission
• Social Security
• Tennessee Valley Authority
• Works Progress Administration",The Great Depression and New Deal (1929-1941),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.44,"Analyze the effects of and the controversies arising from New Deal economic policies, including charges of socialism and President Franklin D. Roosevelt’s “court packing” attempt.",The Great Depression and New Deal (1929-1941),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.45,"Explain the rise and spread of fascism, communism, and totalitarianism internationally.",World War II (1936-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.46,"Explain President Franklin D. Roosevelt’s response to world crises, including: the Quarantine Speech, the Four Freedoms speech, the Atlantic Charter, and the Lend-Lease Act.",World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.47,"Analyze the response of the U.S. to the plight of European Jews before the start of the war, the U.S. liberation of concentration camps during the war, and the immigration of Holocaust survivors after the war.",World War II (1936-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.48,"Explain the reasons for American entry into World War II, including the attack on Pearl Harbor.",World War II (1936-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.49,"Identify the roles and the significant actions of the following individuals in World War II:
• Winston Churchill
• Dwight D. Eisenhower
• Adolf Hitler
• Douglas MacArthur
• George C. Marshall
• Benito Mussolini
• President Franklin D. Roosevelt
• Joseph Stalin
• Hideki Tojo
• President Harry S. Truman",World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.50,"Explain the role of geographic and military factors on the outcomes of battles in the Pacific and European theaters of war, including the Battles of Midway, Iwo Jima, Okinawa, and D-Day.",World War II (1936-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.51,"Identify the roles and sacrifices of individual American soldiers, as well as the unique contributions of special fighting forces such as the Tuskegee Airmen, the 442nd Regimental Combat team, the 101st Airborne, and the Navajo Code Talkers.",World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.52,Examine and explain the entry of large numbers of women into the workforce and armed forces during World War II and the subsequent impact on American society.,World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.53,"Examine the impact of World War II on economic and social conditions for African Americans, including the Fair Employment Practices Committee and the eventual integration of the armed forces by President Harry S. Truman. (T.C.A. § 49-6-1006)",World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.54,"Describe the constitutional issues and impact of the internment of Japanese Americans on the U.S., including the Fred Korematsu v. United States of America decision.",World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.55,"Describe the war’s impact on the home front, including:
• Rationing
• Bond drives
• Propaganda
• Movement to cities and industrial centers
• Bracero program
• Conversion of factories for wartime production
• Location of prisoner of war camps in Tennessee",World War II (1936-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.56,"Describe the Manhattan Project, and explain the rationale for using the atomic bomb to end the war.",World War II (1936-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.57,Explain the major outcomes of the Yalta and Potsdam Conferences.,World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.58,"Identify and explain the reasons for the founding of the United Nations, including the role of Cordell Hull.",World War II (1936-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.59,"Describe the competition between the U.S. and the Soviet Union in arms development, economic dominance, and ideology, including the roles of NATO, SEATO, and the Warsaw Pact.",Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.60,"Explain the Cold War policies of containment and the Truman Doctrine, Marshall Plan, and Berlin Airlift.",Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.61,"Analyze the causes and effects of the Second Red Scare, including: Americans’ attitudes toward McCarthyism, blacklisting, and Julius and Ethel Rosenberg.",Cold War (1947-1991),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.62,"Describe the causes, course, and consequences of the Korean War, including:
• Domino theory
• 38th parallel
• Battle of Inchon
• Entry of the communist Chinese
• Final division of the Koreas",Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.63,"Explain Cold War policies during President Dwight D. Eisenhower’s administration, including brinksmanship and “peaceful coexistence.”",Cold War (1947-1991),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.64,"Explain the fears of Americans surrounding nuclear holocaust, debates over stockpiling, and the use of nuclear weapons, including:
• Atomic testing
• Civil defense
• Fallout shelters
• Impact of Sputnik
• Mutual assured destruction",Cold War (1947-1991),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.65,"Describe the relationship between Cuba and the U.S., including the Bay of Pigs Invasion and Cuban Missile Crisis.",Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.66,"Describe the causes, course, and consequences of the Vietnam War, including:
• Geneva Accords
• Gulf of Tonkin Resolution
• Tet Offensive
• Vietnamization
• Ho Chi Minh
• Bombing of Cambodia
• Napalm and Agent Orange",Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.67,"Compare the policies and practices of Presidents John F. Kennedy, Lyndon Johnson, and Richard Nixon and their impacts on the continuation of the Vietnam War.",Cold War (1947-1991),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.68,"Evaluate the impact of the Vietnam War on the home front, including: the anti-war movement, draft by lottery, and the role of television and the media.",Cold War (1947-1991),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.69,Describe the competition between the U.S. and Soviet Union for superiority in space.,Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.70,"Explain developments that eased tensions during the Cold War, including:
• President Richard Nixon’s detente
• President Jimmy Carter’s SALT Treaties
• President Ronald Reagan and Mikhail Gorbachev’s INF Treaty
• The fall of the Berlin Wall",Cold War (1947-1991),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.71,"Analyze the impact of prosperity and consumerism in the 1950s, including: the growth of white-collar jobs, the “suburban ideal,” the impact of the G.I. Bill, and the increased reliance on foreign oil.",A Nation in Transition (1950s-1963),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.72,Explain the impact of the baby boomer generation on the American economy and culture.,A Nation in Transition (1950s-1963),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.73,"Describe domestic developments during President Dwight D. Eisenhower’s administration, including advances in medicine and the creation of the Interstate Highway System.",A Nation in Transition (1950s-1963),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.74,"Describe the growing influence of the automobile on American society, including the growth of: suburbia, fast food chains, and the hotel industry.",A Nation in Transition (1950s-1963),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.75,"Analyze the increasing impact of television and mass media on the American home, politics, and economy.",A Nation in Transition (1950s-1963),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.76,"Describe the emergence of a youth culture, including beatniks and the progression of popular music (from swing to rhythm and blues to rock ‘n’ roll), and the impact of Tennessee on the music industry, including the influence of B.B. King, Elvis Presley, Stax Records, and Sun Studio. (T.C.A. § 49-6-1006)",A Nation in Transition (1950s-1963),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.77,"Describe President John F. Kennedy’s New Frontier programs to improve education, end racial discrimination, create the Peace Corps, and put a man on the moon.",A Nation in Transition (1950s-1963),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.78,Examine the decision and impact of Brown v. Board of Education on desegregation. (T.C.A. § 49-6-1006),Civil Rights Movement (1950s-1960s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.79,"Examine the roles and actions of civil rights advocates (e.g., Malcolm X, Thurgood Marshall, Rosa Parks) and opponents (e.g., Bull Connor, Orval Faubus, Strom Thurmond) and how they coincided with, confronted, and challenged each other. (T.C.A. § 49-6-1006)",Civil Rights Movement (1950s-1960s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.80,"Describe the significant events in the struggle to secure civil rights for African Americans, including: (T.C.A. § 49-6-1006)
• Montgomery Bus Boycott
• Integration of Clinton High School in Clinton, TN
• Integration of Central High School in Little Rock, AR
• Freedom Riders
• Tent City in Fayette County, TN
• Marches, demonstrations, boycotts, and sit-ins (e.g., Nashville)
• March on Washington, D.C.
• Birmingham bombings of 1963
• Assassination of Martin Luther King, Jr.
• Highlander Folk School",Civil Rights Movement (1950s-1960s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.81,"Analyze civil and voting rights legislation, including: the Civil Rights Act of 1964, the Voting Rights Act of 1965, the Civil Rights Act of 1968 (i.e., Fair Housing Act), and the 24th Amendment. (T.C.A. § 49-6-1006)",Civil Rights Movement (1950s-1960s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.82,"Analyze how the American Indian Movement, Chicano Movement, and Feminist Movement are related to the Civil Rights Movement in advancing equality across the broader spectrum of American society during this time period.",Civil Rights Movement (1950s-1960s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.83,"Evaluate the impact of President Lyndon Johnson’s Great Society programs, including: Medicare, urban renewal, and the War on Poverty.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.84,"Analyze different points of view that reflect the rise of social activism and the growth of counterculture, including: generation gap, hippies, and Woodstock.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.85,"Explain significant achievements of President Richard Nixon’s administration, including his appeal to the “silent majority” and his major foreign policy actions.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.86,"Examine the Watergate scandal, including:
• Background of the break-in
• Changing role of media and journalism
• Legacy of distrust
• Controversy surrounding President Gerald Ford’s pardon
• United States v. Nixon",The Modern United States (1960s-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.87,"Explain the emergence of environmentalism, including the creation of the Environmental Protection Agency and disasters such as Love Canal and Three Mile Island.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.88,"Identify and explain the significant events of President Jimmy Carter’s administration, including:
• Poor economy
• Panama Canal Treaty
• Camp David Accords
• Energy crisis
• Iran Hostage Crisis",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.89,"Analyze the significance of President Ronald Reagan’s administration, including:
• Revitalization of national pride
• Reaganomics
• Iran-Contra affair
• “War on Drugs”
• Strategic Defense Initiative
• AIDS epidemic",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.90,"Describe the significant events of President George H.W. Bush’s administration, including the invasion of Panama and the Gulf War.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.91,"Summarize the events of President Bill Clinton’s administration, including:
• Welfare-to-work
• Balanced budget
• NAFTA
• Scandals and subsequent impeachment hearings",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.92,"Describe the impact of the September 11, 2001 terrorist attacks on the World Trade Center and the Pentagon, including: the response of President George W. Bush, wars in Afghanistan and Iraq, and continued efforts to combat terrorism globally.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.93,"Describe the increasing role of women and minorities in the American military, politics, and economy, including (T.C.A. § 49-6-1006):
• Hillary Clinton
• Sandra Day O’Connor
• Nancy Pelosi
• Colin Powell
• Condoleezza Rice",The Modern United States (1960s-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.94,"Compare and contrast commonly used methods of communication from 1970 to today, and analyze the impact they have had on society.",The Modern United States (1960s-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.95,Describe the achievements and setbacks of President Barack Obama’s administration.,The Modern United States (1960s-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
