Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
Grade 8,8.26,"Explain how conflicts between Thomas Jefferson and Alexander Hamilton resulted in the emergence of two political parties by analyzing their views on foreign policy, economic policy, a national bank, and strict versus loose interpretation of the Constitution.",The New Nation (1775-1800),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.27,"Explain the controversies that plagued the administration of President John Adams, including: the conflicts with Great Britain and France, the XYZ Affair, and the Alien and Sedition Acts.",The New Nation (1775-1800),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.28,Identify how westward expansion led to the statehood of Tennessee and the importance of the first state constitution (1796). (T.C.A. § 49-6-1028),The New Nation (1775-1800),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.29,Analyze the significance of the election of 1800 and Chief Justice John Marshall’s opinion in Marbury v. Madison.,Growth of a Young Nation (1800-1820),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.30,"Explain the major events of Thomas Jefferson’s presidency, including:
• Conflict with the Barbary pirates
• Embargo Act
• Lewis and Clark Expedition
• Louisiana Purchase",Growth of a Young Nation (1800-1820),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.31,"Explain the causes, course, and consequences of the War of 1812, including:
• Use of impressment and trade restrictions between the U.S. and Great Britain
• Roles of Andrew Jackson and William Henry Harrison
• Significance of the Treaty of Ghent
• Rise in nationalism in the U.S.",Growth of a Young Nation (1800-1820),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.32,Identify and locate the changing boundaries of the U.S. as a result of the Convention of 1818 and the Adams-Onis Treaty.,Growth of a Young Nation (1800-1820),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.33,Analyze the purpose and effects of the Monroe Doctrine.,Growth of a Young Nation (1800-1820),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.34,"Describe the development of the agrarian economy in the South, the locations of the cotton-producing states, the significance of cotton and the cotton gin, and the founding of Memphis as a center for cotton and the slave trade.",Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.35,Analyze the characteristics of Southern society and its influence on the social and political conditions prior to the Civil War.,Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.36,"Identify the conditions of enslavement, and explain how slaves adapted to and resisted bondage in their daily lives, including Nat Turner's revolt.",Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.37,"Explain the development of the American Industrial Revolution, including:
• Eli Whitney and interchangeable parts
• Emergence of trade unions
• Lowell System
• Role of the textile industry
• Samuel Slater",Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.38,Describe how technological developments affected the growth of the industrial economy and cities in the North.,Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.39,"Identify the push-pull factors for Irish and German immigrants, and describe the impact of their arrival in the U.S. prior to the Civil War.",Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.40,"Analyze the development of roads, canals, railroads, and steamboats throughout the U.S., including the Erie Canal and the National Road.",Sectionalism and Reform (1790s-1850s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.41,Describe the significance of the Second Great Awakening and its influence on reform in the 19th century.,Sectionalism and Reform (1790s-1850s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.42,"Analyze the development of the women’s suffrage movement, including the Seneca Falls Convention, and the ideals of Susan B. Anthony, Elizabeth Cady Stanton, and Sojourner Truth.",Sectionalism and Reform (1790s-1850s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.43,"Analyze the significance of leading abolitionists, including William Lloyd Garrison, Frederick Douglass, Elihu Embree, and Harriet Tubman, and the methods they used to spread the movement.",Sectionalism and Reform (1790s-1850s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.44,"Analyze the role played by Chief Justice John Marshall in strengthening the judicial branch, including the key decisions of the Supreme Court in Gibbons v. Ogden and McCulloch v. Maryland.",The Jacksonian Era (1824-1840),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.45,"Examine the importance of the elections of 1824 and 1828, including: the corrupt bargain, the spoils system, and Jacksonian Democracy.",The Jacksonian Era (1824-1840),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.46,"Examine President Andrew Jackson’s actions regarding the Bank of the U.S. and the Nullification Crisis, and analyze the effects of these events on the nation.",The Jacksonian Era (1824-1840),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.47,"Describe the impact of the Indian Removal Act and the struggle between the Cherokee Nation and the U.S. government, including the significance of Worcester v. Georgia and the Trail of Tears.",The Jacksonian Era (1824-1840),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.48,Identify that the Tennessee Constitution of 1834 expanded voting rights for non-property owners. (T.C.A. 49-6-1028),The Jacksonian Era (1824-1840),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.49,"Analyze the concept of Manifest Destiny and its impact on the development of the nation, and describe the economic incentives for westward expansion.",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.50,"Explain the reasons for and the provisions of the Missouri Compromise (i.e., Compromise of 1820) and its impact on expansion.",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.51,"Describe American settlements in Texas after 1821, the causes of the Texas War for Independence, the roles of David Crockett and Sam Houston, and the legacy of the Alamo.",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.52,"Analyze the reasons for and outcomes of groups moving west, including the significance of:
• Fur traders
• Mormons
• Oregon Trail
• Santa Fe Trail",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.53,"Identify the major events and impact of James K. Polk’s presidency, including the annexation of Texas and the settlement of the Oregon boundary.",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.54,"Describe the causes and consequences of the Mexican War, including the controversy over the Rio Grande boundary and the Mexican Cession.",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.55,"Analyze the discovery of gold in California, its social and economic impact on the U.S., and the major migratory movement (including the forty-niners and Asian immigrants).",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.56,Explain the reasons for and the impact of the Compromise of 1850 (including Henry Clay’s role as “The Great Compromiser”) and the Fugitive Slave Act (including Harriet Beecher Stowe’s influence with Uncle Tom’s Cabin).,Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.57,Describe the significance of the Gadsden Purchase of 1853.,Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.58,"Explain the motivations behind the passage of the Kansas-Nebraska Act of 1854, and analyze the effects of act, including:
• Rise of the Republican Party
• “Bleeding Kansas”
• Preston Brooks’ attack on Charles Sumner
• John Brown’s raid at Harper’s Ferry",Expansion and Division of the Nation (1820s-1860s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.59,Analyze the Dred Scott v. Sandford decision and the resulting split between the North and South.,Expansion and Division of the Nation (1820s-1860s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.60,Explain the arguments presented by Stephen Douglas and Abraham Lincoln on slavery in the Illinois Senate race debates of 1858.,Expansion and Division of the Nation (1820s-1860s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.61,"Describe the election of 1860 and its candidates (i.e., John Bell, Stephen Douglas, Abraham Lincoln, and John Breckinridge), and analyze how the campaigns reflected sectional turmoil in the country.",The Civil War (1860-1865),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.62,"Describe the outbreak of the Civil War and the resulting sectional differences, including:
• Economic, geographic, and technological advances
• Military strategies
• Roles of President Abraham Lincoln and Jefferson Davis
• Significance of Fort Sumter
• Geographical divisions within states",The Civil War (1860-1865),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.63,"Explain the significance of the following battles, events, and leaders during the Civil War, including:
• First Battle of Bull Run
• Battle of Shiloh
• Battle of Antietam
• Battle of Gettysburg
• Battle of Vicksburg
• Sherman’s March to the Sea
• Surrender at Appomattox Court House
• David Farragut
• Nathan Bedford Forrest
• Ulysses S. Grant
• Thomas “Stonewall” Jackson
• Robert E. Lee",The Civil War (1860-1865),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.64,Analyze the significance of the Emancipation Proclamation and the Gettysburg Address.,The Civil War (1860-1865),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.65,"Describe African American involvement in the Union army, including the Massachusetts 54th Regiment at Fort Wagner and the 13th U.S. Colored Troops in the Battle of Nashville. (T.C.A. § 49-6-1006)",The Civil War (1860-1865),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.66,Analyze how the writings of Sam Watkins and Elisha Hunt Rhodes illustrated the daily life of the common soldier.,The Civil War (1860-1865),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.67,Analyze the immediate political impact of the assassination of President Abraham Lincoln and Andrew Johnson’s ascension to the presidency.,Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.68,"Explain the significance of the 13th, 14th, and 15th Amendments to the U.S. Constitution.",Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.69,"Analyze President Abraham Lincoln’s Ten Percent Plan, President Andrew Johnson’s Plan, and the Radical Republican Plan for Reconstruction.",Reconstruction (1865-1877),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.70,"Identify the significance of the Tennessee Constitution of 1870, including the right of all men to vote and the establishment of a poll tax. (T.C.A. § 49-6-1028)",Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.71,"Analyze the conflict between President Andrew Johnson and the Radical Republicans, including Johnson’s veto of the Tenure of Office Act and his impeachment.",Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.72,"Explain the restrictions placed on the rights and opportunities of freedmen, including: racial segregation, black codes, and the efforts of the Freedmen's Bureau to address the problems confronting newly freed slaves.",Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.73,"Trace the rise of the Ku Klux Klan and vigilante justice in the South and in Tennessee, including the role of Governor William Brownlow.",Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.74,Explain the roles carpetbaggers and scalawags played during Reconstruction.,Reconstruction (1865-1877),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.75,Explain the Compromise of 1877 and its role in ending Radical Reconstruction.,Reconstruction (1865-1877),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
