Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
East Asia: 400-1500s CE,7.07,"Analyze the achievements of the Ming Dynasty and reasons for its isolationism, including building projects (e.g., the Forbidden City and reconstruction of the Great Wall) and Zheng He's sea voyages.",Yes,Ming dynasty blue-and-white porcelain,ceramic,Unknown (Jingdezhen kilns),c. 1400-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Ming+dynasty+blue+and+white+porcelain,search,"The Metropolitan Museum of Art, Ming dynasty porcelain.",Ming dynasty white porcelain vase with blue painted dragons and clouds.,NO,SSP.01; SSP.02,Ming porcelain shows the dynasty's artistic achievement and export trade.,OK
East Asia: 400-1500s CE,7.07,"Analyze the achievements of the Ming Dynasty and reasons for its isolationism, including building projects (e.g., the Forbidden City and reconstruction of the Great Wall) and Zheng He's sea voyages.",Yes,Historic view/map of the Great Wall and Ming China,map,Unknown cartographer,c. 1500-1700,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Ming+china+great+wall+map,search,"Library of Congress, historic map/view of Ming China and the Great Wall.",Early map or engraving showing the Great Wall of China and Ming territory.,NO,SSP.06; SSP.02,Alternate: connects to Ming building projects and reconstruction of the Great Wall.,OK
East Asia: 400-1500s CE,7.08,Describe the origins and central features of Shintoism: • Key Person(s): None • Sacred Texts: No sacred text • Basic Beliefs: localized tradition that focuses on ritual practices that are carried out with discipline to maintain connections with ancient past; animism and Kami,Yes,"Shinto Kami (deity) sculpture, Japan",sculpture,Unknown,c. 900-1300,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Shinto+kami+deity+Japan,search,"The Metropolitan Museum of Art, Shinto deity (kami) sculpture.",Carved wooden figure of a Shinto kami in Japanese court dress.,NO,SSP.01; SSP.02,Rare early Shinto image illustrating kami worship and ritual tradition.,OK
East Asia: 400-1500s CE,7.08,Describe the origins and central features of Shintoism: • Key Person(s): None • Sacred Texts: No sacred text • Basic Beliefs: localized tradition that focuses on ritual practices that are carried out with discipline to maintain connections with ancient past; animism and Kami,Yes,Shinto shrine object / Japanese ritual artifact,artifact,Unknown,c. 1100-1500,Smithsonian (National Museum of Asian Art),CC0,Yes,https://www.si.edu/search?edan_q=Shinto+shrine+Japan+kami,search,"Smithsonian National Museum of Asian Art, Shinto ritual object.",Japanese Shinto shrine ritual object associated with kami veneration.,NO,SSP.01; SSP.02,Alternate: material evidence of Shinto ritual practice and animism.,OK
East Asia: 400-1500s CE,7.09,Explain how Japanese culture changed through Chinese and Korean influences (including Buddhism and Confucianism) as shown in the Constitution of Prince Shotoku and the adoption of the Chinese writing system.,Yes,"Portrait of Prince Shotoku, Japan",painting,Unknown,c. 1300-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Prince+Shotoku+Japan,search,"The Metropolitan Museum of Art, image of Prince Shotoku.","Painted portrait of Prince Shotoku, promoter of Buddhism in early Japan.",NO,SSP.01; SSP.02,Directly ties to Shotoku's constitution and Chinese/Buddhist influence.,OK
East Asia: 400-1500s CE,7.09,Explain how Japanese culture changed through Chinese and Korean influences (including Buddhism and Confucianism) as shown in the Constitution of Prince Shotoku and the adoption of the Chinese writing system.,Yes,Japanese Buddhist sculpture with Chinese influence,sculpture,Unknown,c. 700-900 CE,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Japanese+Buddhist+sculpture+Nara,search,"The Metropolitan Museum of Art, early Japanese Buddhist sculpture.",Wooden Buddhist bodhisattva figure showing continental (Chinese) stylistic influence.,NO,SSP.01; SSP.02,Alternate: evidence of Buddhism and Chinese culture reshaping Japan.,OK
East Asia: 400-1500s CE,7.10,Describe how the Heian aristocracy contributed to the development of a Japanese national culture.,,Tale of Genji handscroll illustration,painting,Unknown (after Murasaki Shikibu),c. 1130-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Tale+of+Genji+handscroll,search,"The Metropolitan Museum of Art, illustration from The Tale of Genji.",Handscroll painting of Heian court nobles in elaborate silk robes.,NO,SSP.01; SSP.02,Genji imagery embodies Heian aristocratic national culture.,OK
East Asia: 400-1500s CE,7.10,Describe how the Heian aristocracy contributed to the development of a Japanese national culture.,,Heian-period Japanese calligraphy,manuscript,Unknown,c. 900-1185,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Heian+calligraphy+Japan,search,"The Metropolitan Museum of Art, Heian-era Japanese calligraphy.",Elegant flowing Japanese kana calligraphy on decorated paper.,NO,SSP.01; SSP.02,Alternate: development of native kana script and refined court culture.,OK
East Asia: 400-1500s CE,7.11,Analyze the rise of a military society in the late 12th century and the role of the shogun and samurai in Japanese society.,,"Samurai armor (yoroi), Japan",arms and armor,Unknown armorer,c. 1300-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=samurai+armor+Japan,search,"The Metropolitan Museum of Art, Japanese samurai armor.",Full suit of laced-plate samurai armor with helmet and mask.,NO,SSP.01; SSP.02,Samurai armor illustrates the rise of Japan's warrior military society.,OK
East Asia: 400-1500s CE,7.11,Analyze the rise of a military society in the late 12th century and the role of the shogun and samurai in Japanese society.,,Japanese sword (katana) and mountings,arms and armor,Unknown swordsmith,c. 1300-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=samurai+sword+katana+Japan,search,"The Metropolitan Museum of Art, Japanese sword.",Curved steel samurai sword with decorated hilt and scabbard.,NO,SSP.01; SSP.02,Alternate: the sword symbolized samurai status under the shogunate.,OK
Byzantine Empire: 400-1500s CE,7.12,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire, and describe the diffusion of Christianity and the Latin language.",Yes,Byzantine icon or mosaic panel,painting,Unknown,c. 500-1200,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Byzantine+icon+Christ,search,"The Metropolitan Museum of Art, Byzantine Christian icon.",Gold-ground Byzantine icon of Christ or the Virgin and Child.,NO,SSP.01; SSP.02,Byzantine Christian art shows the empire's role in preserving Christianity.,OK
Byzantine Empire: 400-1500s CE,7.12,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire, and describe the diffusion of Christianity and the Latin language.",Yes,Byzantine gold solidus coin,coin,Byzantine imperial mint,c. 500-1000,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Byzantine+gold+solidus+coin,search,"The Metropolitan Museum of Art, Byzantine gold solidus.",Gold Byzantine coin stamped with an emperor and a Christian cross.,NO,SSP.01; SSP.02,Alternate: coinage shows Christian imagery and imperial continuity.,OK
Byzantine Empire: 400-1500s CE,7.13,"Explain the importance of Justinian's political, social, and architectural achievements.",Yes,"Interior of Hagia Sophia, Constantinople (photograph/print)",photograph,Various,c. 1850-1920,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Hagia+Sophia+Constantinople+interior,search,"Library of Congress, photograph of Hagia Sophia, Istanbul.","Vast domed interior of Hagia Sophia, built under Emperor Justinian.",NO,SSP.01; SSP.02,Hagia Sophia is Justinian's signature architectural achievement.,OK
Byzantine Empire: 400-1500s CE,7.13,"Explain the importance of Justinian's political, social, and architectural achievements.",Yes,"Corpus Juris Civilis (Justinian's Code), printed edition",printed book,Emperor Justinian I (compiled),printed c. 1500-1600 (from 6th c. law),HathiTrust Digital Library,Public Domain,Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Corpus+Juris+Civilis+Justinian&type=all,search,"HathiTrust, Corpus Juris Civilis (Code of Justinian).",Title page of a printed edition of Justinian's Roman law code.,NO,SSP.01; SSP.02,"Alternate: Justinian's legal achievement, foundation of civil law.",OK
Byzantine Empire: 400-1500s CE,7.14,Analyze the importance of regional geography and the location of Constantinople in maintaining European culture.,Yes,Map / plan of Constantinople,map,Cristoforo Buondelmonti (attributed tradition),c. 1420-1600,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Constantinople+map+plan,search,"Library of Congress, historic map of Constantinople.","Early map of Constantinople showing its peninsula, harbor, and walls.",NO,SSP.06; SSP.02,Shows Constantinople's strategic location controlling trade and defense.,OK
Byzantine Empire: 400-1500s CE,7.14,Analyze the importance of regional geography and the location of Constantinople in maintaining European culture.,Yes,View of Constantinople and the Bosporus,print,Unknown,c. 1500-1700,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=Constantinople+view+Bosporus,search,"NYPL Digital Collections, view of Constantinople.",Panoramic engraving of Constantinople between Europe and Asia.,NO,SSP.06; SSP.02,Alternate: emphasizes the city's position bridging continents.,OK
Southwest Asia and North Africa: 400-1500s CE,7.15,"Identify and locate the geographical features of Southwest Asia and North Africa, including: • Arabian Peninsula • Arabian Sea • Black Sea • Caspian Sea • Euphrates River • Mecca • Mediterranean Sea • Persian Gulf • Red Sea • Tigris River",Yes,Historic map of Arabia and the Middle East,map,Unknown cartographer,c. 1600-1800,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=map+arabia+middle+east+red+sea+persian+gulf,search,"Library of Congress, historic map of Southwest Asia and North Africa.","Antique map of the Arabian Peninsula, Red Sea, and Persian Gulf.",NO,SSP.06; SSP.01,Supports locating the required SW Asia and N Africa features.,OK
Southwest Asia and North Africa: 400-1500s CE,7.15,"Identify and locate the geographical features of Southwest Asia and North Africa, including: • Arabian Peninsula • Arabian Sea • Black Sea • Caspian Sea • Euphrates River • Mecca • Mediterranean Sea • Persian Gulf • Red Sea • Tigris River",Yes,Map of the Ottoman Empire / Near East,map,Unknown cartographer,c. 1650-1800,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=map+arabia+mesopotamia+near+east,search,"NYPL Digital Collections, historic map of the Near East.",Old map showing Mesopotamia's Tigris and Euphrates rivers and the Mediterranean.,NO,SSP.06; SSP.01,Alternate map for locating SW Asia and N Africa geography.,OK
Southwest Asia and North Africa: 400-1500s CE,7.16,"Describe the origins and central features of Islam: • Key Person(s): Mohammad • Sacred Texts: The Quran and The Sunnah • Basic Beliefs: monotheism, Five Pillars",Yes,Illuminated Qur'an manuscript folio,manuscript,Unknown,c. 900-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Quran+manuscript+folio,search,"The Metropolitan Museum of Art, folio from a Qur'an.",Illuminated page of Arabic Qur'anic script with gold ornamentation.,NO,SSP.01; SSP.02,The Qur'an is Islam's central sacred text.,OK
Southwest Asia and North Africa: 400-1500s CE,7.16,"Describe the origins and central features of Islam: • Key Person(s): Mohammad • Sacred Texts: The Quran and The Sunnah • Basic Beliefs: monotheism, Five Pillars",Yes,Mihrab / prayer niche tile panel,ceramic,Unknown,c. 1300-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=mihrab+prayer+niche+tile,search,"The Metropolitan Museum of Art, tile mihrab (prayer niche).",Islamic tiled prayer niche with Arabic calligraphy and geometric design.,NO,SSP.01; SSP.02,"Alternate: object central to Islamic prayer, one of the Five Pillars.",OK
Southwest Asia and North Africa: 400-1500s CE,7.17,"Describe the diffusion of Islam, its culture, and the Arabic language.",Yes,Arabic calligraphy panel / inscribed object,manuscript,Unknown,c. 1000-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Arabic+calligraphy+Islamic,search,"The Metropolitan Museum of Art, Arabic calligraphy.",Ornamental Arabic script demonstrating the spread of the Arabic language.,NO,SSP.01; SSP.02,Arabic script traveled with Islam across three continents.,OK
Southwest Asia and North Africa: 400-1500s CE,7.17,"Describe the diffusion of Islam, its culture, and the Arabic language.",Yes,Islamic lusterware bowl with Arabic inscription,ceramic,Unknown,c. 900-1200,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Islamic+bowl+Arabic+inscription+lusterware,search,"The Metropolitan Museum of Art, inscribed Islamic bowl.",Earthenware bowl decorated with a border of Arabic proverb calligraphy.,NO,SSP.01; SSP.02,Alternate: everyday object spreading Islamic culture and Arabic.,OK
Southwest Asia and North Africa: 400-1500s CE,7.18,Summarize the contributions of the region's scholars in the areas of: • Art • Geography • Literature • Mathematics • Medicine • Philosophy • Science,Yes,"Al-Jazari, Book of Knowledge of Ingenious Mechanical Devices (folio)",manuscript,Al-Jazari,c. 1315 (copy of 1206 text),The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=al-Jazari+automata+mechanical+devices,search,"The Metropolitan Museum of Art, folio from al-Jazari's book of mechanical devices.",Manuscript diagram of an elaborate water clock or automaton with labels.,NO,SSP.01; SSP.02,"Showcases Islamic achievement in science, engineering, and art.",OK
Southwest Asia and North Africa: 400-1500s CE,7.18,Summarize the contributions of the region's scholars in the areas of: • Art • Geography • Literature • Mathematics • Medicine • Philosophy • Science,Yes,Islamic astrolabe (astronomical instrument),scientific instrument,Unknown,c. 1100-1500,Smithsonian (National Museum of American History),CC0,Yes,https://www.si.edu/search?edan_q=Islamic+astrolabe,search,"Smithsonian, Islamic brass astrolabe.",Engraved brass astrolabe used for astronomy and navigation.,NO,SSP.01; SSP.02,"Alternate: astrolabe reflects advances in astronomy, mathematics, geography.",OK
Southwest Asia and North Africa: 400-1500s CE,7.19,"Explain the importance of Mehmed II the Conqueror, the fall of Constantinople, and the establishment of the Ottoman Empire.",Yes,Portrait medal / image of Mehmed II the Conqueror,print,After Gentile Bellini,c. 1480-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Mehmed+II+Ottoman+sultan+portrait,search,"The Metropolitan Museum of Art, portrait of Sultan Mehmed II.","Portrait of Ottoman Sultan Mehmed II, conqueror of Constantinople.",NO,SSP.01; SSP.02,"Mehmed II captured Constantinople in 1453, ending the Byzantine Empire.",OK
Southwest Asia and North Africa: 400-1500s CE,7.19,"Explain the importance of Mehmed II the Conqueror, the fall of Constantinople, and the establishment of the Ottoman Empire.",Yes,Ottoman tughra (imperial calligraphic monogram),manuscript,Ottoman court calligrapher,c. 1500-1560,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Ottoman+tughra+Suleiman,search,"The Metropolitan Museum of Art, Ottoman imperial tughra.",Ornate Ottoman sultan's monogram in blue and gold calligraphy.,NO,SSP.01; SSP.02,Alternate: symbol of Ottoman imperial authority after 1453.,OK
Southwest Asia and North Africa: 400-1500s CE,7.20,"Analyze the development of trade routes throughout Asia, Africa, and Europe and the expanding role of merchants.",Yes,Catalan-style portolan trade map of the medieval world,map,Unknown cartographer,c. 1375-1500,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=portolan+chart+medieval+trade+routes,search,"Library of Congress, medieval portolan trade chart.","Portolan sea chart with rhumb lines linking Europe, Africa, and Asia.",NO,SSP.06; SSP.02,Maps the interconnected trade routes across three continents.,OK
Southwest Asia and North Africa: 400-1500s CE,7.20,"Analyze the development of trade routes throughout Asia, Africa, and Europe and the expanding role of merchants.",Yes,Silk textile / traded luxury good,textile,Unknown,c. 1200-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=medieval+silk+textile+trade,search,"The Metropolitan Museum of Art, medieval traded silk textile.",Patterned silk cloth of the kind carried along medieval trade routes.,NO,SSP.01; SSP.02,Alternate: luxury goods that drove merchant trade across Afro-Eurasia.,OK
West Africa: 400-1500s CE,7.21,"Identify and locate the geographical features of West Africa, including: • Atlantic Ocean • Djenne • Gulf of Guinea • Niger River • The Sahara • Timbuktu",Yes,Historic map of West Africa,map,Unknown cartographer,c. 1600-1800,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=map+west+africa+niger+river+guinea,search,"Library of Congress, historic map of West Africa.","Antique map showing the Niger River, Sahara, Gulf of Guinea, and Timbuktu.",NO,SSP.06; SSP.01,Supports locating the required West African features.,OK
West Africa: 400-1500s CE,7.21,"Identify and locate the geographical features of West Africa, including: • Atlantic Ocean • Djenne • Gulf of Guinea • Niger River • The Sahara • Timbuktu",Yes,Map of Africa (Guinea coast and Sudan),map,Unknown cartographer,c. 1650-1800,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=map+west+africa+guinea+niger,search,"NYPL Digital Collections, historic map of West Africa.",Old engraved map of the West African coast and interior.,NO,SSP.06; SSP.01,Alternate map for West African geography.,OK
West Africa: 400-1500s CE,7.22,"Explain indigenous African spiritual traditions, including: ancestor worship, animism, and the relationship between humans and deities.",,West African / Mali ritual figure sculpture,sculpture,Unknown (Mali region),c. 1200-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Mali+Djenne+figure+sculpture,search,"The Metropolitan Museum of Art, West African ritual sculpture.",Terracotta or wood African figure connected to ancestor and spirit veneration.,NO,SSP.01; SSP.02,Reflects indigenous African spiritual traditions and animism.,OK
West Africa: 400-1500s CE,7.22,"Explain indigenous African spiritual traditions, including: ancestor worship, animism, and the relationship between humans and deities.",,African ancestral / spiritual object,artifact,Unknown,c. 1300-1600,Smithsonian (National Museum of African Art),CC0,Yes,https://www.si.edu/search?edan_q=African+ancestor+spirit+figure,search,"Smithsonian National Museum of African Art, ancestral figure.",Carved African object used in rituals honoring ancestors and deities.,NO,SSP.01; SSP.02,Alternate: material culture of African spiritual belief.,OK
West Africa: 400-1500s CE,7.23,"Analyze the growth of the kingdoms of Ghana, Mali, and Songhai, including cities such as Djenne and Timbuktu as centers of trade, culture, and learning.",Yes,"Djenne terracotta equestrian figure, Mali",sculpture,Unknown (Inland Niger Delta),c. 1200-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Djenne+terracotta+equestrian+Mali,search,"The Metropolitan Museum of Art, Djenne terracotta figure.",Terracotta horse-and-rider figure from the Djenne region of Mali.,NO,SSP.01; SSP.02,Djenne art documents West African urban trade and culture centers.,OK
West Africa: 400-1500s CE,7.23,"Analyze the growth of the kingdoms of Ghana, Mali, and Songhai, including cities such as Djenne and Timbuktu as centers of trade, culture, and learning.",Yes,Great Mosque of Djenne / Timbuktu (photograph),photograph,Various,c. 1900-1920,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Djenne+mosque+Timbuktu,search,"Library of Congress, photograph of Djenne / Timbuktu.","Mud-brick Great Mosque of Djenne, a center of trade and Islamic learning.",NO,SSP.01; SSP.02,Alternate: connects Djenne and Timbuktu as centers of learning.,OK
West Africa: 400-1500s CE,7.24,"Describe the role of the Trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and in the exchange of salt, gold, and slaves.",Yes,West African gold ornament / trade gold object,artifact,Unknown,c. 1300-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=African+gold+Akan+trans-saharan,search,"The Metropolitan Museum of Art, West African gold object.",Gold ornament representing the West African gold that fueled Saharan trade.,NO,SSP.01; SSP.02,Gold was the key West African export in the trans-Saharan trade.,OK
West Africa: 400-1500s CE,7.24,"Describe the role of the Trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and in the exchange of salt, gold, and slaves.",Yes,Trans-Saharan trade route map,map,Unknown cartographer,c. 1600-1800,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=trans-saharan+trade+route+africa+map,search,"Library of Congress, map of trans-Saharan trade routes.",Map tracing caravan routes across the Sahara linking North and West Africa.,NO,SSP.06; SSP.02,"Alternate: illustrates the exchange of salt, gold, and enslaved people.",OK
West Africa: 400-1500s CE,7.25,Explain the importance of griots in the transmission of West African history and culture.,Yes,West African kora (griot's harp-lute),artifact,Unknown,c. 1850-1920,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=kora+West+Africa+instrument,search,"The Metropolitan Museum of Art, West African kora.",Large gourd-bodied stringed instrument played by West African griots.,NO,SSP.01; SSP.02,The kora accompanies griots who transmit oral history.,OK
West Africa: 400-1500s CE,7.25,Explain the importance of griots in the transmission of West African history and culture.,Yes,Photograph of a West African griot / musician,photograph,Various,c. 1890-1920,Smithsonian,CC0 / Public Domain,Yes,https://www.si.edu/search?edan_q=griot+west+africa+musician,search,"Smithsonian, photograph of a West African griot.",Griot storyteller-musician performing with a traditional instrument.,NO,SSP.01; SSP.02,Alternate: griots as living keepers of West African history.,OK
